Time(s),BP(mmHg)
1.364,71.79066428341196
1.368,70.95345537048587
1.372,70.3255486857913
1.376,69.48833977286522
1.38,68.86043308817065
1.384,68.02322417524456
1.388,67.60461971878152
1.392,66.76741080585543
1.396,66.13950412116087
1.4,65.93020189292935
1.404,65.30229520823478
1.408,64.4650862953087
1.412,63.627877382382614
1.416,62.79066846945653
1.42,62.372064012993484
1.424,62.16276178476196
1.428,60.90694841537283
1.432,61.11625064360435
1.436,60.279041730678266
1.44,59.86043727421522
1.444,59.44183281775218
1.448,58.81392613305761
1.452,58.81392613305761
1.456,58.18601944836305
1.46,57.976717220131526
1.464,57.976717220131526
1.468,57.34881053543696
1.472,57.55811276366848
1.476,56.93020607897392
1.48,56.720903850742395
1.484,57.13950830720544
1.488,57.13950830720544
1.492,57.13950830720544
1.496,56.720903850742395
1.5,57.13950830720544
1.504,57.55811276366848
1.508,57.34881053543696
1.512,57.976717220131526
1.516,57.34881053543696
1.52,57.767414991900004
1.524,57.976717220131526
1.528,58.18601944836305
1.532,58.39532167659457
1.536,59.023228361289135
1.54,59.023228361289135
1.544,59.44183281775218
1.548,59.44183281775218
1.552,59.86043727421522
1.556,60.48834395890979
1.56,60.279041730678266
1.564,60.279041730678266
1.568,60.69764618714131
1.572,61.325552871835875
1.576,61.11625064360435
1.58,61.325552871835875
1.584,61.74415732829892
1.588,61.5348551000674
1.592,61.5348551000674
1.596,61.95345955653044
1.6,61.325552871835875
1.604,62.16276178476196
1.608,62.16276178476196
1.612,62.16276178476196
1.616,62.16276178476196
1.62,62.16276178476196
1.624,62.16276178476196
1.628,62.16276178476196
1.632,61.95345955653044
1.636,62.16276178476196
1.64,61.74415732829892
1.644,61.5348551000674
1.648,61.325552871835875
1.652,61.325552871835875
1.656,61.11625064360435
1.66,60.48834395890979
1.664,60.48834395890979
1.668,60.69764618714131
1.672,60.48834395890979
1.676,59.86043727421522
1.68,59.86043727421522
1.684,59.6511350459837
1.688,59.44183281775218
1.692,59.023228361289135
1.696,58.18601944836305
1.7,58.39532167659457
1.704,58.18601944836305
1.708,57.976717220131526
1.712,57.34881053543696
1.716,57.13950830720544
1.72,56.93020607897392
1.724,56.511601622510874
1.728,56.30229939427935
1.732,56.09299716604783
1.736,55.465090481353265
1.74,55.04648602489022
1.744,54.62788156842718
1.748,53.99997488373261
1.752,53.79067265550109
1.756,53.79067265550109
1.76,52.953463742575
1.764,52.74416151434348
1.768,52.953463742575
1.772,52.74416151434348
1.776,52.74416151434348
1.78,51.69765037318587
1.784,51.27904591672283
1.788,51.27904591672283
1.792,50.860441460259786
1.796,50.44183700379674
1.8,50.44183700379674
1.804,50.44183700379674
1.808,50.23253477556522
1.812,49.81393031910218
1.816,49.604628090870655
1.82,49.39532586263913
1.824,49.39532586263913
1.828,49.39532586263913
1.832,48.558116949713046
1.836,48.348814721481524
1.84,48.348814721481524
1.844,47.93021026501848
1.848,47.72090803678696
1.852,48.13951249325
1.856,48.76741917794457
1.86,47.51160580855544
1.864,47.51160580855544
1.868,47.302303580323915
1.872,47.093001352092394
1.876,47.093001352092394
1.88,47.093001352092394
1.884,47.093001352092394
1.888,46.88369912386087
1.892,46.67439689562935
1.896,46.88369912386087
1.9,46.25579243916631
1.904,46.46509466739783
1.908,46.046490210934785
1.912,46.046490210934785
1.916,45.62788575447174
1.92,45.41858352624022
1.924,45.41858352624022
1.928,45.41858352624022
1.932,45.2092812980087
1.936,45.2092812980087
1.94,44.999979069777176
1.944,45.41858352624022
1.948,45.2092812980087
1.952,45.2092812980087
1.956,44.58137461331413
1.96,44.58137461331413
1.964,44.790676841545654
1.968,44.58137461331413
1.972,44.58137461331413
1.976,44.58137461331413
1.98,44.16277015685109
1.984,44.58137461331413
1.988,43.95346792861957
1.992,44.37207238508261
1.996,43.744165700388045
2.0,44.58137461331413
2.004,44.790676841545654
2.008,45.41858352624022
2.012,46.46509466739783
2.016,47.93021026501848
2.02,49.604628090870655
2.024,51.906952601417395
2.028,53.79067265550109
2.032,56.30229939427935
2.036,58.81392613305761
2.04,61.325552871835875
2.044,64.04648183884565
2.048,67.18601526231848
2.052,70.11624645755978
2.056,73.04647765280109
2.06,76.60461553273696
2.064,80.16275341267283
2.068,83.93019352084022
2.072,87.27902917254457
2.076,90.62786482424892
2.08,94.39530493241631
2.084,97.74414058412066
2.088,100.46506955113044
2.092,102.9766962899087
2.096,105.69762525691849
2.1,107.58134531100218
2.104,108.83715868039131
2.108,110.09297204978044
2.112,110.09297204978044
2.116,110.72087873447501
2.12,110.72087873447501
2.124,110.09297204978044
2.128,109.25576313685436
2.132,108.20925199569675
2.136,107.37204308277066
2.14,106.11622971338153
2.144,104.65111411576088
2.148,103.39530074637175
2.152,102.13948737698261
2.156,100.67437177936196
2.16,98.99995395350979
2.164,97.53483835588914
2.168,96.2790249865
2.172,94.60460716064783
2.176,92.72088710656413
2.18,91.67437596540653
2.184,90.4185625960174
2.188,87.90693585723913
2.192,86.86042471608152
2.196,85.81391357492392
2.2,84.13949574907174
2.204,83.09298460791413
2.208,82.25577569498805
2.212,80.58135786913587
2.216,79.53484672797826
2.22,78.69763781505218
2.224,77.44182444566304
2.228,76.60461553273696
2.232,75.55810439157935
2.236,75.1394999351163
2.24,74.30229102219022
2.244,73.46508210926413
2.248,73.04647765280109
2.252,72.41857096810652
2.256,71.16275759871739
2.26,70.3255486857913
2.264,70.11624645755978
2.268,69.48833977286522
2.272,69.06973531640217
2.276,67.81392194701304
2.28,67.81392194701304
2.284,67.18601526231848
2.288,66.34880634939239
2.292,65.5115974364663
2.296,64.88369075177174
2.3,64.4650862953087
2.304,63.837179610614136
2.308,62.99997069768805
2.312,62.79066846945653
2.316,62.16276178476196
2.32,61.5348551000674
2.324,61.11625064360435
2.328,60.279041730678266
2.332,59.6511350459837
2.336,60.069739502446744
2.34,59.6511350459837
2.344,59.023228361289135
2.348,59.23253058952066
2.352,58.39532167659457
2.356,58.81392613305761
2.36,58.18601944836305
2.364,58.18601944836305
2.368,58.60462390482609
2.372,57.976717220131526
2.376,57.55811276366848
2.38,57.976717220131526
2.384,57.767414991900004
2.388,57.976717220131526
2.392,57.976717220131526
2.396,57.976717220131526
2.4,58.18601944836305
2.404,58.81392613305761
2.408,57.976717220131526
2.412,58.60462390482609
2.416,58.81392613305761
2.42,59.023228361289135
2.424,59.6511350459837
2.428,59.6511350459837
2.432,59.6511350459837
2.436,60.279041730678266
2.44,60.69764618714131
2.444,61.11625064360435
2.448,61.11625064360435
2.452,61.5348551000674
2.456,61.74415732829892
2.46,61.325552871835875
2.464,61.325552871835875
2.468,61.95345955653044
2.472,62.16276178476196
2.476,62.16276178476196
2.48,62.372064012993484
2.484,62.372064012993484
2.488,62.79066846945653
2.492,62.16276178476196
2.496,62.581366241225005
2.5,62.372064012993484
2.504,62.16276178476196
2.508,62.16276178476196
2.512,62.16276178476196
2.516,61.95345955653044
2.52,61.74415732829892
2.524,62.16276178476196
2.528,62.372064012993484
2.532,62.16276178476196
2.536,61.5348551000674
2.54,61.5348551000674
2.544,61.325552871835875
2.548,60.90694841537283
2.552,61.11625064360435
2.556,60.48834395890979
2.56,60.48834395890979
2.564,60.48834395890979
2.568,60.069739502446744
2.572,59.6511350459837
2.576,58.81392613305761
2.58,58.81392613305761
2.584,58.39532167659457
2.588,58.39532167659457
2.592,57.976717220131526
2.596,57.767414991900004
2.6,57.34881053543696
2.604,56.720903850742395
2.608,56.30229939427935
2.612,56.511601622510874
2.616,55.67439270958479
2.62,55.465090481353265
2.624,55.04648602489022
2.628,54.62788156842718
2.632,54.209277111964134
2.636,54.62788156842718
2.64,54.209277111964134
2.644,53.79067265550109
2.648,52.953463742575
2.652,52.953463742575
2.656,52.953463742575
2.66,52.116254829648916
2.664,52.116254829648916
2.668,52.116254829648916
2.672,51.48834814495435
2.676,51.06974368849131
2.68,51.06974368849131
2.684,50.860441460259786
2.688,50.860441460259786
2.692,50.23253477556522
2.696,50.0232325473337
2.7,49.604628090870655
2.704,49.604628090870655
2.708,48.76741917794457
2.712,49.18602363440761
2.716,48.558116949713046
2.72,48.348814721481524
2.724,47.93021026501848
2.728,47.93021026501848
2.732,47.51160580855544
2.736,47.72090803678696
2.74,47.302303580323915
2.744,46.88369912386087
2.748,47.093001352092394
2.752,47.093001352092394
2.756,47.093001352092394
2.76,46.88369912386087
2.764,46.25579243916631
2.768,46.67439689562935
2.772,46.88369912386087
2.776,46.25579243916631
2.78,46.46509466739783
2.784,46.046490210934785
2.788,46.046490210934785
2.792,46.046490210934785
2.796,45.83718798270326
2.8,45.62788575447174
2.804,45.41858352624022
2.808,44.999979069777176
2.812,44.58137461331413
2.816,44.999979069777176
2.82,44.790676841545654
2.824,45.2092812980087
2.828,44.999979069777176
2.832,44.790676841545654
2.836,44.37207238508261
2.84,44.58137461331413
2.844,44.37207238508261
2.848,44.37207238508261
2.852,44.37207238508261
2.856,43.95346792861957
2.86,43.95346792861957
2.864,44.16277015685109
2.868,43.744165700388045
2.872,43.744165700388045
2.876,43.95346792861957
2.88,43.744165700388045
2.884,43.744165700388045
2.888,43.744165700388045
2.892,43.325561243925
2.896,43.325561243925
2.9,43.744165700388045
2.904,43.95346792861957
2.908,44.37207238508261
2.912,44.999979069777176
2.916,46.046490210934785
2.92,47.51160580855544
2.924,49.39532586263913
2.928,51.27904591672283
2.932,53.162765970806525
2.936,56.09299716604783
2.94,58.18601944836305
2.944,61.325552871835875
2.948,63.627877382382614
2.952,67.18601526231848
2.956,70.3255486857913
2.96,73.25577988103261
2.964,76.81391776096848
2.968,80.58135786913587
2.972,83.93019352084022
2.976,87.27902917254457
2.98,91.04646928071196
2.984,94.60460716064783
2.988,97.74414058412066
2.992,100.25576732289892
2.996,103.18599851814022
3.0,105.48832302868696
3.004,107.58134531100218
3.008,109.04646090862283
3.012,110.09297204978044
3.016,110.30227427801196
3.02,110.72087873447501
3.024,110.72087873447501
3.028,109.88366982154892
3.032,109.04646090862283
3.036,108.62785645215979
3.04,107.16274085453914
3.044,105.90692748515
3.048,104.44181188752935
3.052,102.76739406167718
3.056,101.30227846405653
3.06,99.83716286643588
3.064,98.37204726881522
3.068,96.90693167119457
3.072,95.65111830180544
3.076,93.3487937912587
3.08,91.88367819363805
3.084,90.62786482424892
3.088,89.37205145485979
3.092,87.69763362900761
3.096,86.02321580315544
3.1,84.7674024337663
3.104,83.51158906437718
3.108,81.62786901029348
3.112,80.7906600973674
3.116,79.53484672797826
3.12,78.27903335858913
3.124,77.23252221743152
3.128,76.39531330450544
3.132,75.55810439157935
3.136,74.93019770688478
3.14,74.0929887939587
3.144,73.67438433749565
3.148,72.209268739875
3.152,72.209268739875
3.156,71.37205982694891
3.16,70.53485091402283
3.164,69.48833977286522
3.168,69.06973531640217
3.172,68.23252640347609
3.176,67.18601526231848
3.18,66.76741080585543
3.184,66.34880634939239
3.188,65.30229520823478
3.192,65.09299298000326
3.196,64.25578406707717
3.2,63.837179610614136
3.204,62.79066846945653
3.208,62.99997069768805
3.212,62.16276178476196
3.216,61.325552871835875
3.22,61.11625064360435
3.224,60.69764618714131
3.228,60.279041730678266
3.232,59.44183281775218
3.236,59.23253058952066
3.24,58.81392613305761
3.244,58.39532167659457
3.248,58.60462390482609
3.252,57.976717220131526
3.256,57.767414991900004
3.26,57.34881053543696
3.264,57.34881053543696
3.268,57.13950830720544
3.272,57.34881053543696
3.276,56.511601622510874
3.28,57.13950830720544
3.284,57.767414991900004
3.288,57.13950830720544
3.292,57.34881053543696
3.296,57.13950830720544
3.3,57.976717220131526
3.304,57.767414991900004
3.308,58.39532167659457
3.312,57.976717220131526
3.316,58.39532167659457
3.32,58.60462390482609
3.324,59.23253058952066
3.328,59.023228361289135
3.332,59.23253058952066
3.336,59.44183281775218
3.34,59.86043727421522
3.344,60.069739502446744
3.348,59.6511350459837
3.352,60.48834395890979
3.356,60.48834395890979
3.36,60.48834395890979
3.364,60.90694841537283
3.368,61.11625064360435
3.372,61.5348551000674
3.376,61.325552871835875
3.38,61.74415732829892
3.384,61.74415732829892
3.388,61.5348551000674
3.392,61.95345955653044
3.396,62.16276178476196
3.4,61.74415732829892
3.404,62.16276178476196
3.408,61.74415732829892
3.412,61.5348551000674
3.416,61.5348551000674
3.42,61.325552871835875
3.424,61.5348551000674
3.428,61.5348551000674
3.432,61.325552871835875
3.436,61.11625064360435
3.44,60.90694841537283
3.444,60.69764618714131
3.448,60.90694841537283
3.452,60.48834395890979
3.456,60.48834395890979
3.46,59.6511350459837
3.464,59.023228361289135
3.468,60.279041730678266
3.472,59.44183281775218
3.476,58.39532167659457
3.48,58.18601944836305
3.484,58.60462390482609
3.488,58.18601944836305
3.492,58.39532167659457
3.496,57.34881053543696
3.5,57.13950830720544
3.504,57.13950830720544
3.508,56.720903850742395
3.512,56.30229939427935
3.516,55.88369493781631
3.52,55.67439270958479
3.524,55.25578825312174
3.528,55.04648602489022
3.532,54.8371837966587
3.536,54.62788156842718
3.54,54.209277111964134
3.544,53.79067265550109
3.548,52.953463742575
3.552,53.58137042726957
3.556,53.162765970806525
3.56,52.116254829648916
3.564,52.116254829648916
3.568,52.116254829648916
3.572,51.69765037318587
3.576,51.27904591672283
3.58,51.27904591672283
3.584,50.651139232028264
3.588,50.44183700379674
3.592,50.44183700379674
3.596,50.0232325473337
3.6,49.604628090870655
3.604,49.39532586263913
3.608,48.76741917794457
3.612,48.97672140617609
3.616,48.558116949713046
3.62,48.13951249325
3.624,48.13951249325
3.628,47.72090803678696
3.632,47.72090803678696
3.636,47.51160580855544
3.64,47.093001352092394
3.644,47.093001352092394
3.648,46.88369912386087
3.652,47.093001352092394
3.656,46.67439689562935
3.66,46.46509466739783
3.664,46.46509466739783
3.668,46.46509466739783
3.672,46.25579243916631
3.676,46.046490210934785
3.68,46.046490210934785
3.684,45.62788575447174
3.688,45.62788575447174
3.692,45.62788575447174
3.696,45.62788575447174
3.7,45.2092812980087
3.704,45.2092812980087
3.708,44.999979069777176
3.712,44.999979069777176
3.716,44.790676841545654
3.72,44.58137461331413
3.724,44.37207238508261
3.728,44.58137461331413
3.732,44.58137461331413
3.736,44.37207238508261
3.74,44.58137461331413
3.744,43.744165700388045
3.748,44.37207238508261
3.752,43.95346792861957
3.756,43.744165700388045
3.76,43.744165700388045
3.764,43.95346792861957
3.768,43.744165700388045
3.772,43.744165700388045
3.776,43.744165700388045
3.78,43.744165700388045
3.784,43.744165700388045
3.788,43.53486347215652
3.792,43.53486347215652
3.796,43.325561243925
3.8,43.325561243925
3.804,43.11625901569348
3.808,43.325561243925
3.812,43.325561243925
3.816,42.90695678746196
3.82,43.53486347215652
3.824,43.95346792861957
3.828,44.790676841545654
3.832,45.83718798270326
3.836,47.302303580323915
3.84,49.604628090870655
3.844,51.06974368849131
3.848,53.79067265550109
3.852,56.09299716604783
3.856,58.81392613305761
3.86,61.325552871835875
3.864,64.4650862953087
3.868,67.18601526231848
3.872,70.53485091402283
3.876,73.88368656572717
3.88,77.23252221743152
3.884,80.99996232559891
3.888,84.55810020553479
3.892,88.32554031370218
3.896,91.465073737175
3.9,94.81390938887935
3.904,98.1627450405837
3.908,101.51158069228805
3.912,103.81390520283479
3.916,105.90692748515
3.92,107.37204308277066
3.924,109.04646090862283
3.928,109.88366982154892
3.932,109.46506536508588
3.936,109.88366982154892
3.94,109.88366982154892
3.944,108.62785645215979
3.948,108.20925199569675
3.952,107.16274085453914
3.956,105.90692748515
3.96,104.44181188752935
3.964,102.9766962899087
3.968,101.72088292051957
3.972,100.0464650946674
3.976,98.1627450405837
3.98,96.90693167119457
3.984,95.2325138453424
3.988,93.13949156302718
3.992,91.88367819363805
3.996,89.99995813955435
4.0,88.5348425419337
4.004,87.06972694431305
4.008,85.6046113466924
4.012,84.55810020553479
4.016,83.09298460791413
4.02,81.41856678206196
4.024,80.58135786913587
4.028,79.11624227151522
4.032,78.06973113035761
4.036,76.81391776096848
4.04,76.18601107627391
4.044,75.34880216334783
4.048,74.51159325042174
4.052,73.46508210926413
4.056,72.83717542456957
4.06,71.37205982694891
4.064,70.53485091402283
4.068,70.3255486857913
4.072,69.69764200109674
4.076,68.23252640347609
4.08,67.81392194701304
4.084,67.39531749055
4.088,66.76741080585543
4.092,65.93020189292935
4.096,65.5115974364663
4.1,64.4650862953087
4.104,64.04648183884565
4.108,63.837179610614136
4.112,62.79066846945653
4.116,61.95345955653044
4.12,61.325552871835875
4.124,60.90694841537283
4.128,60.90694841537283
4.132,60.069739502446744
4.136,59.23253058952066
4.14,59.023228361289135
4.144,58.81392613305761
4.148,57.976717220131526
4.152,58.39532167659457
4.156,57.34881053543696
4.16,57.34881053543696
4.164,56.720903850742395
4.168,57.13950830720544
4.172,56.511601622510874
4.176,56.30229939427935
4.18,56.09299716604783
4.184,56.09299716604783
4.188,56.30229939427935
4.192,56.30229939427935
4.196,56.30229939427935
4.2,55.88369493781631
4.204,55.88369493781631
4.208,56.511601622510874
4.212,56.30229939427935
4.216,56.30229939427935
4.22,56.720903850742395
4.224,56.511601622510874
4.228,56.93020607897392
4.232,56.93020607897392
4.236,57.55811276366848
4.24,58.18601944836305
4.244,57.976717220131526
4.248,58.18601944836305
4.252,58.81392613305761
4.256,59.44183281775218
4.26,59.023228361289135
4.264,59.23253058952066
4.268,59.6511350459837
4.272,60.069739502446744
4.276,60.279041730678266
4.28,60.279041730678266
4.284,60.69764618714131
4.288,60.48834395890979
4.292,60.69764618714131
4.296,60.90694841537283
4.3,61.11625064360435
4.304,60.90694841537283
4.308,61.11625064360435
4.312,61.325552871835875
4.316,60.90694841537283
4.32,60.69764618714131
4.324,61.11625064360435
4.328,61.11625064360435
4.332,60.48834395890979
4.336,60.69764618714131
4.34,61.11625064360435
4.344,60.48834395890979
4.348,60.48834395890979
4.352,60.48834395890979
4.356,60.48834395890979
4.36,60.48834395890979
4.364,60.48834395890979
4.368,60.48834395890979
4.372,59.6511350459837
4.376,59.86043727421522
4.38,59.6511350459837
4.384,59.023228361289135
4.388,58.81392613305761
4.392,58.60462390482609
4.396,58.39532167659457
4.4,58.18601944836305
4.404,57.55811276366848
4.408,57.767414991900004
4.412,56.93020607897392
4.416,56.720903850742395
4.42,56.30229939427935
4.424,56.30229939427935
4.428,55.465090481353265
4.432,55.04648602489022
4.436,55.465090481353265
4.44,54.209277111964134
4.444,54.62788156842718
4.448,53.99997488373261
4.452,53.79067265550109
4.456,52.953463742575
4.46,53.162765970806525
4.464,52.953463742575
4.468,52.53485928611196
4.472,52.116254829648916
4.476,52.116254829648916
4.48,51.69765037318587
4.484,51.27904591672283
4.488,51.06974368849131
4.492,51.27904591672283
4.496,50.651139232028264
4.5,50.44183700379674
4.504,49.604628090870655
4.508,49.81393031910218
4.512,49.39532586263913
4.516,48.76741917794457
4.52,48.97672140617609
4.524,48.76741917794457
4.528,48.348814721481524
4.532,48.348814721481524
4.536,47.72090803678696
4.54,47.93021026501848
4.544,47.302303580323915
4.548,47.093001352092394
4.552,47.302303580323915
4.556,47.093001352092394
4.56,46.67439689562935
4.564,46.67439689562935
4.568,46.25579243916631
4.572,46.88369912386087
4.576,45.83718798270326
4.58,46.046490210934785
4.584,45.41858352624022
4.588,45.83718798270326
4.592,45.83718798270326
4.596,45.83718798270326
4.6,45.2092812980087
4.604,45.41858352624022
4.608,44.999979069777176
4.612,44.790676841545654
4.616,44.999979069777176
4.62,44.999979069777176
4.624,44.37207238508261
4.628,44.16277015685109
4.632,44.16277015685109
4.636,44.16277015685109
4.64,44.37207238508261
4.644,43.744165700388045
4.648,43.744165700388045
4.652,43.95346792861957
4.656,43.744165700388045
4.66,43.744165700388045
4.664,43.744165700388045
