Time(s),ECG(mV)
0.84,0.08
0.844,0.06
0.848,0.07
0.852,0.08
0.856,0.08
0.86,0.07
0.864,0.08
0.868,0.075
0.872,0.06
0.876,0.07
0.88,0.075
0.884,0.075
0.888,0.08
0.892,0.1
0.896,0.08
0.9,0.065
0.904,0.11
0.908,0.16
0.912,0.225
0.916,0.3
0.92,0.46
0.924,0.655
0.928,0.825
0.932,0.88
0.936,0.71
0.94,0.435
0.944,0.075
0.948,-0.23
0.952,-0.345
0.956,-0.34
0.96,-0.23
0.964,-0.12
0.968,-0.045
0.972,-0.015
0.976,0.025
0.98,0.04
0.984,0.06
0.988,0.075
0.992,0.08
0.996,0.08
1.0,0.08
1.004,0.075
1.008,0.085
1.012,0.085
1.016,0.1
1.02,0.08
1.024,0.08
1.028,0.095
1.032,0.095
1.036,0.1
1.04,0.1
1.044,0.08
1.048,0.1
1.052,0.105
1.056,0.1
1.06,0.12
1.064,0.105
1.068,0.125
1.072,0.13
1.076,0.12
1.08,0.125
1.084,0.12
1.088,0.13
1.092,0.14
1.096,0.14
1.1,0.145
1.104,0.145
1.108,0.165
1.112,0.16
1.116,0.15
1.12,0.16
1.124,0.175
1.128,0.175
1.132,0.19
1.136,0.19
1.14,0.195
1.144,0.2
1.148,0.205
1.152,0.2
1.156,0.21
1.16,0.2
1.164,0.225
1.168,0.22
1.172,0.235
1.176,0.24
1.18,0.235
1.184,0.235
1.188,0.225
1.192,0.22
1.196,0.205
1.2,0.22
1.204,0.215
1.208,0.205
1.212,0.2
1.216,0.175
1.22,0.155
1.224,0.16
1.228,0.12
1.232,0.11
1.236,0.09
1.24,0.085
1.244,0.06
1.248,0.04
1.252,0.035
1.256,0.02
1.26,0.025
1.264,0.015
1.268,-0.0
1.272,-0.0
1.276,-0.0
1.28,-0.005
1.284,-0.01
1.288,-0.005
1.292,0.005
1.296,-0.0
1.3,-0.02
1.304,-0.005
1.308,-0.0
1.312,0.015
1.316,-0.0
1.32,-0.005
1.324,0.005
1.328,0.015
1.332,-0.0
1.336,-0.0
1.34,-0.0
1.344,0.005
1.348,0.02
1.352,0.015
1.356,0.005
1.36,0.015
1.364,0.02
1.368,0.02
1.372,0.02
1.376,0.03
1.38,0.025
1.384,0.02
1.388,0.02
1.392,0.02
1.396,0.02
1.4,0.025
1.404,0.03
1.408,0.04
1.412,0.02
1.416,0.04
1.42,0.045
1.424,0.035
1.428,0.04
1.432,0.05
1.436,0.045
1.44,0.045
1.444,0.05
1.448,0.04
1.452,0.045
1.456,0.04
1.46,0.03
1.464,0.04
1.468,0.05
1.472,0.045
1.476,0.04
1.48,0.065
1.484,0.06
1.488,0.04
1.492,0.065
1.496,0.05
1.5,0.065
1.504,0.06
1.508,0.05
1.512,0.07
1.516,0.045
1.52,0.05
1.524,0.06
1.528,0.065
1.532,0.08
1.536,0.055
1.54,0.06
1.544,0.06
1.548,0.08
1.552,0.08
1.556,0.065
1.56,0.075
1.564,0.07
1.568,0.07
1.572,0.065
1.576,0.065
1.58,0.075
1.584,0.065
1.588,0.07
1.592,0.065
1.596,0.075
1.6,0.07
1.604,0.08
1.608,0.075
1.612,0.08
1.616,0.07
1.62,0.095
1.624,0.075
1.628,0.095
1.632,0.09
1.636,0.11
1.64,0.095
1.644,0.11
1.648,0.1
1.652,0.105
1.656,0.125
1.66,0.125
1.664,0.135
1.668,0.135
1.672,0.14
1.676,0.125
1.68,0.12
1.684,0.11
1.688,0.11
1.692,0.09
1.696,0.1
1.7,0.085
1.704,0.085
1.708,0.07
1.712,0.08
1.716,0.06
1.72,0.075
1.724,0.055
1.728,0.055
1.732,0.06
1.736,0.06
1.74,0.065
1.744,0.07
1.748,0.08
1.752,0.06
1.756,0.08
1.76,0.06
1.764,0.085
1.768,0.07
1.772,0.09
1.776,0.07
1.78,0.08
1.784,0.075
1.788,0.08
1.792,0.13
1.796,0.16
1.8,0.225
1.804,0.36
1.808,0.545
1.812,0.76
1.816,0.93
1.82,0.945
1.824,0.705
1.828,0.345
1.832,-0.06
1.836,-0.3
1.84,-0.4
1.844,-0.345
1.848,-0.215
1.852,-0.115
1.856,-0.06
1.86,-0.01
1.864,0.02
1.868,0.07
1.872,0.06
1.876,0.075
1.88,0.06
1.884,0.075
1.888,0.07
1.892,0.085
1.896,0.095
1.9,0.085
1.904,0.08
1.908,0.09
1.912,0.095
1.916,0.09
1.92,0.1
1.924,0.1
1.928,0.115
1.932,0.1
1.936,0.115
1.94,0.115
1.944,0.105
1.948,0.12
1.952,0.12
1.956,0.125
1.96,0.12
1.964,0.12
1.968,0.14
1.972,0.12
1.976,0.125
1.98,0.15
1.984,0.135
1.988,0.14
1.992,0.16
1.996,0.15
2.0,0.15
2.004,0.18
2.008,0.165
2.012,0.165
2.016,0.175
2.02,0.19
2.024,0.185
2.028,0.2
2.032,0.21
2.036,0.21
2.04,0.22
2.044,0.215
2.048,0.225
2.052,0.24
2.056,0.235
2.06,0.22
2.064,0.24
2.068,0.225
2.072,0.22
2.076,0.24
2.08,0.24
2.084,0.235
2.088,0.24
2.092,0.215
2.096,0.21
2.1,0.205
2.104,0.195
2.108,0.18
2.112,0.155
2.116,0.145
2.12,0.145
2.124,0.1
2.128,0.095
2.132,0.07
2.136,0.065
2.14,0.04
2.144,0.03
2.148,0.04
2.152,0.03
2.156,0.015
2.16,0.015
2.164,0.01
2.168,-0.0
2.172,-0.0
2.176,0.005
2.18,-0.01
2.184,-0.0
2.188,0.005
2.192,-0.0
2.196,0.005
2.2,0.015
2.204,-0.0
2.208,0.02
2.212,0.005
2.216,0.01
2.22,0.005
2.224,0.01
2.228,0.02
2.232,0.02
2.236,0.02
2.24,0.015
2.244,0.02
2.248,0.015
2.252,0.02
2.256,0.04
2.26,0.025
2.264,0.02
2.268,0.035
2.272,0.03
2.276,0.025
2.28,0.02
2.284,0.035
2.288,0.02
2.292,0.03
2.296,0.03
2.3,0.04
2.304,0.025
2.308,0.04
2.312,0.04
2.316,0.055
2.32,0.055
2.324,0.04
2.328,0.06
2.332,0.045
2.336,0.04
2.34,0.055
2.344,0.06
2.348,0.04
2.352,0.055
2.356,0.045
2.36,0.055
2.364,0.06
2.368,0.04
2.372,0.06
2.376,0.06
2.38,0.07
2.384,0.05
2.388,0.06
2.392,0.06
2.396,0.065
2.4,0.06
2.404,0.06
2.408,0.08
2.412,0.05
2.416,0.08
2.42,0.065
2.424,0.09
2.428,0.08
2.432,0.08
2.436,0.075
2.44,0.075
2.444,0.07
2.448,0.07
2.452,0.08
2.456,0.075
2.46,0.08
2.464,0.07
2.468,0.07
2.472,0.08
2.476,0.075
2.48,0.075
2.484,0.075
2.488,0.08
2.492,0.09
2.496,0.08
2.5,0.08
2.504,0.08
2.508,0.085
2.512,0.095
2.516,0.08
2.52,0.09
2.524,0.07
2.528,0.1
2.532,0.08
2.536,0.105
2.54,0.1
2.544,0.1
2.548,0.11
2.552,0.11
2.556,0.12
2.56,0.12
2.564,0.13
2.568,0.125
2.572,0.12
2.576,0.14
2.58,0.14
2.584,0.12
2.588,0.12
2.592,0.12
2.596,0.11
2.6,0.1
2.604,0.1
2.608,0.08
2.612,0.08
2.616,0.095
2.62,0.08
2.624,0.08
2.628,0.06
2.632,0.06
2.636,0.065
2.64,0.07
2.644,0.055
2.648,0.065
2.652,0.08
2.656,0.07
2.66,0.08
2.664,0.075
2.668,0.075
2.672,0.065
2.676,0.075
2.68,0.08
2.684,0.08
2.688,0.075
2.692,0.09
2.696,0.12
2.7,0.165
2.704,0.24
2.708,0.375
2.712,0.545
2.716,0.775
2.72,0.925
2.724,0.96
2.728,0.7
2.732,0.34
2.736,-0.06
2.74,-0.3
2.744,-0.415
2.748,-0.355
2.752,-0.24
2.756,-0.125
2.76,-0.085
2.764,-0.02
2.768,0.01
2.772,0.05
2.776,0.075
2.78,0.06
2.784,0.075
2.788,0.07
2.792,0.07
2.796,0.08
2.8,0.08
2.804,0.085
2.808,0.1
2.812,0.095
2.816,0.1
2.82,0.095
2.824,0.105
2.828,0.1
2.832,0.11
2.836,0.1
2.84,0.1
2.844,0.1
2.848,0.12
2.852,0.12
2.856,0.105
2.86,0.125
2.864,0.135
2.868,0.125
2.872,0.12
2.876,0.125
2.88,0.14
2.884,0.13
2.888,0.14
2.892,0.145
2.896,0.16
2.9,0.14
2.904,0.16
2.908,0.175
2.912,0.18
2.916,0.175
2.92,0.19
2.924,0.195
2.928,0.2
2.932,0.205
2.936,0.2
2.94,0.215
2.944,0.24
2.948,0.22
2.952,0.23
2.956,0.24
2.96,0.23
2.964,0.235
2.968,0.24
2.972,0.235
2.976,0.225
2.98,0.225
2.984,0.23
2.988,0.225
2.992,0.235
2.996,0.215
3.0,0.205
3.004,0.2
3.008,0.195
3.012,0.18
3.016,0.155
3.02,0.14
3.024,0.125
3.028,0.115
3.032,0.095
3.036,0.085
3.04,0.06
3.044,0.045
3.048,0.04
3.052,0.04
3.056,0.02
3.06,0.015
3.064,0.01
3.068,0.005
3.072,-0.0
3.076,-0.0
3.08,-0.0
3.084,-0.0
3.088,-0.015
3.092,-0.0
3.096,-0.0
3.1,-0.0
3.104,-0.0
3.108,0.02
3.112,0.01
3.116,0.01
3.12,0.02
3.124,0.005
3.128,0.015
3.132,0.02
3.136,0.03
3.14,0.015
3.144,0.005
3.148,0.02
3.152,0.02
3.156,0.02
3.16,0.03
3.164,0.025
3.168,0.02
3.172,0.04
3.176,0.035
3.18,0.025
3.184,0.04
3.188,0.035
3.192,0.04
3.196,0.03
3.2,0.035
3.204,0.04
3.208,0.03
3.212,0.04
3.216,0.03
3.22,0.04
3.224,0.04
3.228,0.04
3.232,0.045
3.236,0.05
3.24,0.04
3.244,0.05
3.248,0.05
3.252,0.04
3.256,0.04
3.26,0.05
3.264,0.05
3.268,0.05
3.272,0.06
3.276,0.05
3.28,0.06
3.284,0.06
3.288,0.055
3.292,0.065
3.296,0.06
3.3,0.06
3.304,0.065
3.308,0.06
3.312,0.065
3.316,0.06
3.32,0.07
3.324,0.065
3.328,0.065
3.332,0.08
3.336,0.065
3.34,0.07
3.344,0.075
3.348,0.08
3.352,0.07
3.356,0.08
3.36,0.08
3.364,0.075
3.368,0.07
3.372,0.08
3.376,0.08
3.38,0.085
3.384,0.075
3.388,0.07
3.392,0.08
3.396,0.065
3.4,0.08
3.404,0.08
3.408,0.09
3.412,0.08
3.416,0.085
3.42,0.08
3.424,0.08
3.428,0.08
3.432,0.085
3.436,0.095
3.44,0.095
3.444,0.095
3.448,0.1
3.452,0.105
3.456,0.105
3.46,0.095
3.464,0.105
3.468,0.115
3.472,0.115
3.476,0.135
3.48,0.14
3.484,0.14
3.488,0.155
3.492,0.135
3.496,0.135
3.5,0.125
3.504,0.12
3.508,0.12
3.512,0.1
3.516,0.1
3.52,0.08
3.524,0.09
3.528,0.1
3.532,0.08
3.536,0.07
3.54,0.07
3.544,0.06
3.548,0.075
3.552,0.075
3.556,0.07
3.56,0.07
3.564,0.09
3.568,0.075
3.572,0.075
3.576,0.07
3.58,0.08
3.584,0.075
3.588,0.065
3.592,0.08
3.596,0.08
3.6,0.08
3.604,0.08
3.608,0.13
3.612,0.16
3.616,0.215
3.62,0.325
3.624,0.495
3.628,0.7
3.632,0.875
3.636,0.96
3.64,0.795
3.644,0.5
3.648,0.115
3.652,-0.24
3.656,-0.375
3.66,-0.38
3.664,-0.255
3.668,-0.155
3.672,-0.095
3.676,-0.035
3.68,-0.0
3.684,0.04
3.688,0.055
3.692,0.065
3.696,0.075
3.7,0.06
3.704,0.07
3.708,0.075
3.712,0.085
3.716,0.09
3.72,0.105
3.724,0.1
3.728,0.085
3.732,0.11
3.736,0.1
3.74,0.105
3.744,0.105
3.748,0.095
3.752,0.105
3.756,0.125
3.76,0.11
3.764,0.12
3.768,0.12
3.772,0.11
3.776,0.125
3.78,0.12
3.784,0.125
3.788,0.14
3.792,0.125
3.796,0.14
3.8,0.135
3.804,0.13
3.808,0.15
3.812,0.16
3.816,0.15
3.82,0.16
3.824,0.175
3.828,0.17
3.832,0.175
3.836,0.18
3.84,0.18
3.844,0.21
3.848,0.22
3.852,0.205
3.856,0.215
3.86,0.22
3.864,0.23
3.868,0.25
3.872,0.24
3.876,0.24
3.88,0.225
3.884,0.23
3.888,0.23
3.892,0.23
3.896,0.22
3.9,0.23
3.904,0.24
3.908,0.22
3.912,0.205
3.916,0.2
3.92,0.195
3.924,0.18
3.928,0.165
3.932,0.15
3.936,0.13
3.94,0.115
3.944,0.09
3.948,0.085
3.952,0.075
3.956,0.055
3.96,0.055
3.964,0.04
3.968,0.02
3.972,0.03
3.976,0.02
3.98,0.01
3.984,0.015
3.988,0.01
3.992,-0.0
3.996,-0.0
4.0,-0.0
4.004,-0.0
4.008,0.01
4.012,0.01
4.016,0.005
4.02,-0.0
4.024,0.005
4.028,0.005
4.032,0.005
4.036,0.01
4.04,0.02
4.044,-0.0
4.048,0.005
4.052,0.01
4.056,0.035
4.06,0.02
4.064,0.015
4.068,0.03
4.072,0.03
4.076,0.025
4.08,0.045
4.084,0.02
4.088,0.03
4.092,0.04
4.096,0.025
4.1,0.04
4.104,0.025
4.108,0.035
4.112,0.05
4.116,0.035
4.12,0.045
4.124,0.04
4.128,0.03
4.132,0.045
4.136,0.04
4.14,0.04
4.144,0.04
4.148,0.04
4.152,0.045
4.156,0.035
4.16,0.03
4.164,0.045
4.168,0.045
4.172,0.05
4.176,0.045
4.18,0.04
4.184,0.05
4.188,0.05
4.192,0.06
4.196,0.045
4.2,0.07
4.204,0.06
4.208,0.055
4.212,0.06
4.216,0.065
4.22,0.065
4.224,0.06
4.228,0.055
4.232,0.07
4.236,0.06
4.24,0.075
4.244,0.08
4.248,0.085
4.252,0.08
4.256,0.065
4.26,0.07
4.264,0.075
4.268,0.07
4.272,0.07
4.276,0.08
4.28,0.07
4.284,0.07
4.288,0.075
4.292,0.085
4.296,0.08
4.3,0.075
4.304,0.08
4.308,0.08
4.312,0.08
4.316,0.08
4.32,0.085
4.324,0.08
4.328,0.08
4.332,0.08
4.336,0.08
4.34,0.08
4.344,0.095
4.348,0.115
4.352,0.105
4.356,0.11
4.36,0.11
4.364,0.11
4.368,0.115
4.372,0.13
4.376,0.125
4.38,0.155
4.384,0.15
4.388,0.135
4.392,0.13
4.396,0.13
4.4,0.13
4.404,0.12
4.408,0.115
4.412,0.095
4.416,0.115
4.42,0.1
4.424,0.095
4.428,0.085
4.432,0.085
4.436,0.08
4.44,0.065
4.444,0.06
4.448,0.07
4.452,0.06
4.456,0.07
4.46,0.065
4.464,0.08
4.468,0.065
4.472,0.08
4.476,0.075
4.48,0.08
4.484,0.07
4.488,0.08
4.492,0.07
4.496,0.065
4.5,0.08
4.504,0.075
4.508,0.095
4.512,0.12
4.516,0.15
4.52,0.235
4.524,0.35
4.528,0.52
4.532,0.725
4.536,0.905
4.54,0.94
4.544,0.7
4.548,0.38
4.552,-0.0
4.556,-0.28
4.56,-0.4
4.564,-0.355
4.568,-0.225
4.572,-0.135
4.576,-0.085
4.58,-0.035
4.584,-0.0
4.588,0.055
4.592,0.08
4.596,0.065
4.6,0.07
4.604,0.06
4.608,0.08
4.612,0.07
4.616,0.095
4.62,0.08
4.624,0.105
4.628,0.085
4.632,0.1
4.636,0.095
4.64,0.1
4.644,0.1
4.648,0.1
4.652,0.11
4.656,0.11
4.66,0.115
4.664,0.1
4.668,0.12
4.672,0.115
4.676,0.115
4.68,0.13
4.684,0.13
4.688,0.13
4.692,0.125
4.696,0.14
4.7,0.14
4.704,0.145
4.708,0.125
4.712,0.145
4.716,0.16
4.72,0.145
4.724,0.15
4.728,0.18
4.732,0.185
4.736,0.18
4.74,0.19
4.744,0.2
4.748,0.21
4.752,0.205
4.756,0.21
4.76,0.22
4.764,0.215
4.768,0.225
4.772,0.23
4.776,0.24
4.78,0.25
4.784,0.24
4.788,0.23
4.792,0.24
4.796,0.22
4.8,0.24
4.804,0.215
4.808,0.225
4.812,0.22
4.816,0.215
4.82,0.2
4.824,0.19
4.828,0.17
4.832,0.165
4.836,0.15
4.84,0.13
4.844,0.115
4.848,0.095
4.852,0.09
4.856,0.07
4.86,0.06
4.864,0.05
4.868,0.03
4.872,0.035
4.876,0.03
4.88,0.02
4.884,0.015
4.888,0.015
4.892,-0.0
4.896,-0.0
4.9,0.005
4.904,-0.0
4.908,-0.0
4.912,0.01
4.916,0.015
4.92,-0.0
4.924,0.01
4.928,0.02
4.932,0.02
4.936,0.005
4.94,0.01
4.944,0.02
4.948,0.02
4.952,0.02
4.956,0.02
4.96,0.015
4.964,0.02
4.968,0.03
4.972,0.025
4.976,0.02
4.98,0.04
4.984,0.025
4.988,0.04
4.992,0.035
4.996,0.025
5.0,0.04
5.004,0.03
5.008,0.04
5.012,0.03
5.016,0.025
5.02,0.03
5.024,0.045
5.028,0.03
5.032,0.05
5.036,0.05
5.04,0.045
5.044,0.035
5.048,0.04
5.052,0.05
5.056,0.055
5.06,0.035
5.064,0.04
5.068,0.04
5.072,0.06
5.076,0.05
5.08,0.06
5.084,0.055
5.088,0.055
5.092,0.065
5.096,0.065
5.1,0.06
5.104,0.06
5.108,0.05
5.112,0.05
5.116,0.06
5.12,0.065
5.124,0.065
5.128,0.06
5.132,0.06
5.136,0.075
5.14,0.065
5.144,0.07
5.148,0.085
5.152,0.08
5.156,0.08
5.16,0.08
5.164,0.08
5.168,0.08
5.172,0.08
5.176,0.08
5.18,0.07
5.184,0.09
5.188,0.08
5.192,0.08
5.196,0.08
5.2,0.085
5.204,0.085
5.208,0.08
5.212,0.07
5.216,0.08
5.22,0.08
5.224,0.095
5.228,0.075
5.232,0.1
5.236,0.08
5.24,0.11
5.244,0.1
5.248,0.105
5.252,0.1
5.256,0.095
5.26,0.105
5.264,0.11
5.268,0.125
5.272,0.125
5.276,0.14
5.28,0.14
5.284,0.135
5.288,0.135
5.292,0.13
5.296,0.115
5.3,0.12
5.304,0.11
5.308,0.115
5.312,0.11
5.316,0.09
5.32,0.085
5.324,0.08
5.328,0.08
5.332,0.06
5.336,0.07
5.34,0.045
5.344,0.065
5.348,0.075
5.352,0.065
5.356,0.09
5.36,0.055
5.364,0.08
5.368,0.06
5.372,0.08
5.376,0.07
5.38,0.09
5.384,0.065
5.388,0.08
5.392,0.08
5.396,0.09
5.4,0.08
5.404,0.125
5.408,0.145
5.412,0.195
5.416,0.285
5.42,0.435
5.424,0.635
5.428,0.825
5.432,0.89
5.436,0.76
5.44,0.51
5.444,0.145
5.448,-0.205
5.452,-0.33
5.456,-0.345
5.46,-0.26
5.464,-0.145
5.468,-0.08
5.472,-0.025
5.476,0.015
5.48,0.05
5.484,0.06
5.488,0.08
5.492,0.08
5.496,0.095
5.5,0.09
5.504,0.08
5.508,0.085
5.512,0.085
5.516,0.08
5.52,0.095
5.524,0.09
5.528,0.1
5.532,0.1
5.536,0.12
5.54,0.115
5.544,0.115
5.548,0.1
5.552,0.12
5.556,0.095
5.56,0.12
5.564,0.115
5.568,0.105
5.572,0.12
5.576,0.115
5.58,0.12
5.584,0.11
5.588,0.125
5.592,0.15
5.596,0.125
5.6,0.125
5.604,0.155
5.608,0.14
5.612,0.15
5.616,0.16
5.62,0.16
5.624,0.155
5.628,0.175
5.632,0.2
5.636,0.18
5.64,0.2
5.644,0.19
5.648,0.215
5.652,0.21
5.656,0.22
5.66,0.225
5.664,0.21
5.668,0.205
5.672,0.23
5.676,0.21
5.68,0.24
5.684,0.215
5.688,0.225
5.692,0.215
5.696,0.195
5.7,0.215
5.704,0.2
5.708,0.2
5.712,0.195
5.716,0.18
5.72,0.155
5.724,0.16
5.728,0.13
5.732,0.125
5.736,0.1
5.74,0.09
5.744,0.09
5.748,0.08
5.752,0.045
5.756,0.055
5.76,0.035
5.764,0.025
5.768,0.015
5.772,0.02
5.776,-0.0
5.78,0.005
5.784,0.02
5.788,-0.0
5.792,0.015
5.796,0.02
5.8,0.01
5.804,0.02
5.808,0.005
5.812,0.02
5.816,-0.0
5.82,0.035
5.824,0.02
5.828,0.02
5.832,0.015
5.836,0.025
5.84,0.03
5.844,0.01
5.848,0.025
5.852,0.025
5.856,0.03
5.86,0.035
5.864,0.025
5.868,0.035
5.872,0.04
5.876,0.04
5.88,0.035
5.884,0.02
5.888,0.04
5.892,0.05
5.896,0.03
5.9,0.03
5.904,0.035
5.908,0.05
5.912,0.045
5.916,0.02
5.92,0.05
5.924,0.05
5.928,0.05
5.932,0.05
5.936,0.05
5.94,0.05
5.944,0.045
5.948,0.045
5.952,0.05
5.956,0.05
5.96,0.05
5.964,0.05
5.968,0.055
5.972,0.045
5.976,0.04
5.98,0.06
5.984,0.05
5.988,0.06
5.992,0.06
5.996,0.065
6.0,0.055
6.004,0.06
6.008,0.06
6.012,0.06
6.016,0.06
6.02,0.075
6.024,0.075
6.028,0.07
6.032,0.08
6.036,0.08
6.04,0.065
6.044,0.08
6.048,0.085
6.052,0.095
6.056,0.08
6.06,0.085
6.064,0.075
6.068,0.085
6.072,0.08
6.076,0.08
6.08,0.07
6.084,0.08
6.088,0.08
6.092,0.095
6.096,0.095
6.1,0.09
6.104,0.08
6.108,0.08
6.112,0.08
6.116,0.08
6.12,0.075
6.124,0.08
6.128,0.1
6.132,0.095
6.136,0.1
6.14,0.085
6.144,0.1
6.148,0.105
6.152,0.11
6.156,0.13
6.16,0.12
6.164,0.135
6.168,0.145
6.172,0.13
6.176,0.13
6.18,0.1
6.184,0.125
6.188,0.105
6.192,0.095
6.196,0.1
6.2,0.08
6.204,0.095
6.208,0.08
6.212,0.065
6.216,0.045
6.22,0.06
6.224,0.06
6.228,0.04
6.232,0.065
6.236,0.05
6.24,0.045
6.244,0.075
6.248,0.055
6.252,0.07
6.256,0.07
6.26,0.07
6.264,0.07
6.268,0.075
6.272,0.07
6.276,0.08
6.28,0.06
6.284,0.07
6.288,0.11
6.292,0.15
6.296,0.225
6.3,0.35
6.304,0.5
6.308,0.71
6.312,0.83
6.316,0.88
6.32,0.625
6.324,0.315
6.328,-0.06
6.332,-0.29
6.336,-0.38
6.34,-0.33
6.344,-0.21
6.348,-0.115
6.352,-0.05
6.356,-0.02
6.36,0.025
6.364,0.06
6.368,0.065
6.372,0.065
6.376,0.085
6.38,0.075
6.384,0.07
6.388,0.08
6.392,0.085
6.396,0.08
6.4,0.09
6.404,0.1
6.408,0.1
6.412,0.08
6.416,0.095
6.42,0.1
6.424,0.1
6.428,0.1
6.432,0.095
6.436,0.115
6.44,0.1
6.444,0.1
6.448,0.11
6.452,0.12
6.456,0.115
6.46,0.13
6.464,0.115
6.468,0.125
6.472,0.13
6.476,0.125
6.48,0.13
6.484,0.14
6.488,0.14
6.492,0.145
6.496,0.155
6.5,0.155
6.504,0.16
6.508,0.175
6.512,0.175
6.516,0.175
6.52,0.18
6.524,0.19
6.528,0.2
6.532,0.19
6.536,0.2
6.54,0.2
6.544,0.215
6.548,0.22
6.552,0.22
6.556,0.22
6.56,0.215
6.564,0.22
6.568,0.22
6.572,0.22
6.576,0.22
6.58,0.21
6.584,0.205
6.588,0.2
6.592,0.185
6.596,0.18
6.6,0.175
6.604,0.16
6.608,0.14
6.612,0.135
6.616,0.105
6.62,0.095
6.624,0.07
6.628,0.07
6.632,0.05
6.636,0.04
6.64,0.04
6.644,0.015
6.648,0.005
6.652,0.005
6.656,0.02
6.66,-0.0
6.664,0.01
6.668,0.005
6.672,0.015
6.676,0.005
6.68,-0.0
6.684,0.01
6.688,-0.0
6.692,0.01
6.696,-0.0
6.7,0.005
6.704,0.005
6.708,0.015
6.712,0.01
6.716,-0.0
6.72,0.015
6.724,0.015
6.728,0.015
6.732,0.005
6.736,0.02
6.74,0.03
6.744,0.015
6.748,0.025
6.752,0.04
6.756,0.025
6.76,0.03
6.764,0.025
6.768,0.04
6.772,0.05
6.776,0.04
6.78,0.035
6.784,0.04
6.788,0.04
6.792,0.045
6.796,0.04
6.8,0.035
6.804,0.045
6.808,0.045
6.812,0.045
6.816,0.04
6.82,0.04
6.824,0.04
6.828,0.04
6.832,0.04
6.836,0.04
6.84,0.04
6.844,0.045
6.848,0.035
6.852,0.05
6.856,0.04
6.86,0.04
6.864,0.045
6.868,0.05
6.872,0.055
6.876,0.06
6.88,0.055
6.884,0.045
6.888,0.055
6.892,0.05
6.896,0.055
6.9,0.075
6.904,0.055
6.908,0.065
6.912,0.06
6.916,0.075
6.92,0.07
