Time(s),Resp (sum)(l)
1.036,-0.7942028985507247
1.04,-0.7768115942028986
1.044,-0.7782608695652173
1.048,-0.7797101449275362
1.052,-0.7753623188405797
1.056,-0.7739130434782608
1.06,-0.7710144927536232
1.064,-0.7681159420289855
1.068,-0.7768115942028986
1.072,-0.7753623188405797
1.076,-0.7768115942028986
1.08,-0.7710144927536232
1.084,-0.755072463768116
1.088,-0.7608695652173914
1.092,-0.7623188405797101
1.096,-0.7391304347826086
1.1,-0.7594202898550725
1.104,-0.7608695652173914
1.108,-0.7434782608695653
1.112,-0.7768115942028986
1.116,-0.7710144927536232
1.12,-0.763768115942029
1.124,-0.7594202898550725
1.128,-0.7768115942028986
1.132,-0.7478260869565218
1.136,-0.7652173913043478
1.14,-0.7434782608695653
1.144,-0.7579710144927536
1.148,-0.7289855072463768
1.152,-0.7579710144927536
1.156,-0.7405797101449275
1.16,-0.7521739130434782
1.164,-0.7594202898550725
1.168,-0.7521739130434782
1.172,-0.7565217391304347
1.176,-0.7478260869565218
1.18,-0.7478260869565218
1.184,-0.7275362318840579
1.188,-0.7144927536231884
1.192,-0.7043478260869566
1.196,-0.717391304347826
1.2,-0.7246376811594203
1.204,-0.7420289855072464
1.208,-0.7289855072463768
1.212,-0.7188405797101449
1.216,-0.7188405797101449
1.22,-0.7347826086956522
1.224,-0.7028985507246377
1.228,-0.7014492753623188
1.232,-0.6927536231884058
1.236,-0.6956521739130435
1.24,-0.6768115942028986
1.244,-0.6782608695652174
1.248,-0.663768115942029
1.252,-0.6666666666666666
1.256,-0.6753623188405797
1.26,-0.6753623188405797
1.264,-0.6666666666666666
1.268,-0.6826086956521739
1.272,-0.6768115942028986
1.276,-0.6492753623188405
1.28,-0.6391304347826087
1.284,-0.6202898550724638
1.288,-0.6405797101449275
1.292,-0.6246376811594203
1.296,-0.6173913043478261
1.3,-0.6057971014492753
1.304,-0.6173913043478261
1.308,-0.6159420289855072
1.312,-0.636231884057971
1.316,-0.6376811594202898
1.32,-0.6115942028985507
1.324,-0.591304347826087
1.328,-0.6217391304347826
1.332,-0.5710144927536231
1.336,-0.5898550724637681
1.34,-0.5565217391304348
1.344,-0.5565217391304348
1.348,-0.5623188405797102
1.352,-0.563768115942029
1.356,-0.5565217391304348
1.36,-0.5434782608695652
1.364,-0.5434782608695652
1.368,-0.5449275362318841
1.372,-0.5333333333333333
1.376,-0.5159420289855072
1.38,-0.5043478260869565
1.384,-0.4985507246376812
1.388,-0.4855072463768116
1.392,-0.48695652173913045
1.396,-0.4652173913043478
1.4,-0.47246376811594204
1.404,-0.4681159420289855
1.408,-0.45072463768115945
1.412,-0.47246376811594204
1.416,-0.4666666666666667
1.42,-0.4579710144927536
1.424,-0.4289855072463768
1.428,-0.4217391304347826
1.432,-0.4057971014492754
1.436,-0.4115942028985507
1.44,-0.3826086956521739
1.444,-0.3884057971014493
1.448,-0.3753623188405797
1.452,-0.36376811594202896
1.456,-0.3710144927536232
1.46,-0.36666666666666664
1.464,-0.3565217391304348
1.468,-0.3507246376811594
1.472,-0.34202898550724636
1.476,-0.32463768115942027
1.48,-0.3115942028985507
1.484,-0.30144927536231886
1.488,-0.2985507246376812
1.492,-0.27246376811594203
1.496,-0.2797101449275362
1.5,-0.263768115942029
1.504,-0.2710144927536232
1.508,-0.26666666666666666
1.512,-0.26666666666666666
1.516,-0.2579710144927536
1.52,-0.2608695652173913
1.524,-0.23043478260869565
1.528,-0.2289855072463768
1.532,-0.21159420289855072
1.536,-0.20579710144927535
1.54,-0.18695652173913044
1.544,-0.18985507246376812
1.548,-0.18405797101449275
1.552,-0.18115942028985507
1.556,-0.17971014492753623
1.56,-0.17971014492753623
1.564,-0.1753623188405797
1.568,-0.1681159420289855
1.572,-0.14782608695652175
1.576,-0.14202898550724638
1.58,-0.13043478260869565
1.584,-0.11739130434782609
1.588,-0.11304347826086956
1.592,-0.10289855072463767
1.596,-0.10289855072463767
1.6,-0.09855072463768116
1.604,-0.10289855072463767
1.608,-0.09565217391304348
1.612,-0.09565217391304348
1.616,-0.08695652173913043
1.62,-0.08550724637681159
1.624,-0.06666666666666667
1.628,-0.06376811594202898
1.632,-0.04927536231884058
1.636,-0.04782608695652174
1.64,-0.03768115942028986
1.644,-0.0391304347826087
1.648,-0.03333333333333333
1.652,-0.03768115942028986
1.656,-0.036231884057971016
1.66,-0.04057971014492753
1.664,-0.036231884057971016
1.668,-0.030434782608695653
1.672,-0.017391304347826087
1.676,-0.005797101449275362
1.68,0.002898550724637681
1.684,0.007246376811594203
1.688,0.013043478260869565
1.692,0.01884057971014493
1.696,0.013043478260869565
1.7,0.013043478260869565
1.704,0.010144927536231883
1.708,0.005797101449275362
1.712,0.0
1.716,0.013043478260869565
1.72,0.010144927536231883
1.724,0.03333333333333333
1.728,0.030434782608695653
1.732,0.0463768115942029
1.736,0.04927536231884058
1.74,0.050724637681159424
1.744,0.05217391304347826
1.748,0.050724637681159424
1.752,0.042028985507246375
1.756,0.05217391304347826
1.76,0.04057971014492753
1.764,0.0536231884057971
1.768,0.06376811594202898
1.772,0.07391304347826087
1.776,0.08115942028985507
1.78,0.08695652173913043
1.784,0.09855072463768116
1.788,0.0927536231884058
1.792,0.09855072463768116
1.796,0.08695652173913043
1.8,0.10434782608695652
1.804,0.08985507246376812
1.808,0.09855072463768116
1.812,0.09855072463768116
1.816,0.10434782608695652
1.82,0.11594202898550725
1.824,0.13623188405797101
1.828,0.1391304347826087
1.832,0.15507246376811595
1.836,0.14347826086956522
1.84,0.15072463768115943
1.844,0.1463768115942029
1.848,0.15507246376811595
1.852,0.14492753623188406
1.856,0.15507246376811595
1.86,0.15507246376811595
1.864,0.15942028985507245
1.868,0.1681159420289855
1.872,0.1855072463768116
1.876,0.2
1.88,0.2028985507246377
1.884,0.21014492753623187
1.888,0.2028985507246377
1.892,0.20579710144927535
1.896,0.19710144927536233
1.9,0.20579710144927535
1.904,0.20144927536231885
1.908,0.21304347826086956
1.912,0.22028985507246376
1.916,0.21739130434782608
1.92,0.23043478260869565
1.924,0.2492753623188406
1.928,0.24057971014492754
1.932,0.2594202898550725
1.936,0.27246376811594203
1.94,0.27246376811594203
1.944,0.26231884057971017
1.948,0.26666666666666666
1.952,0.26811594202898553
1.956,0.27246376811594203
1.96,0.263768115942029
1.964,0.27246376811594203
1.968,0.2826086956521739
1.972,0.2985507246376812
1.976,0.30869565217391304
1.98,0.3188405797101449
1.984,0.3188405797101449
1.988,0.30869565217391304
1.992,0.3289855072463768
1.996,0.3130434782608696
2.0,0.3115942028985507
2.004,0.3289855072463768
2.008,0.30434782608695654
2.012,0.32463768115942027
2.016,0.32318840579710145
2.02,0.33768115942028987
2.024,0.34202898550724636
2.028,0.34347826086956523
2.032,0.3565217391304348
2.036,0.35942028985507246
2.04,0.3652173913043478
2.044,0.35942028985507246
2.048,0.35942028985507246
2.052,0.34782608695652173
2.056,0.35507246376811596
2.06,0.36231884057971014
2.064,0.37681159420289856
2.068,0.3869565217391304
2.072,0.4057971014492754
2.076,0.38405797101449274
2.08,0.41304347826086957
2.084,0.41594202898550725
2.088,0.39855072463768115
2.092,0.41739130434782606
2.096,0.4
2.1,0.3869565217391304
2.104,0.4
2.108,0.4115942028985507
2.112,0.4101449275362319
2.116,0.4289855072463768
2.12,0.4028985507246377
2.124,0.4463768115942029
2.128,0.4405797101449275
2.132,0.44782608695652176
2.136,0.43043478260869567
2.14,0.4608695652173913
2.144,0.4434782608695652
2.148,0.4391304347826087
2.152,0.4289855072463768
2.156,0.4289855072463768
2.16,0.4463768115942029
2.164,0.45072463768115945
2.168,0.4623188405797101
2.172,0.46956521739130436
2.176,0.4826086956521739
2.18,0.4971014492753623
2.184,0.4753623188405797
2.188,0.4811594202898551
2.192,0.4811594202898551
2.196,0.45217391304347826
2.2,0.4579710144927536
2.204,0.4753623188405797
2.208,0.45942028985507244
2.212,0.45507246376811594
2.216,0.4826086956521739
2.22,0.47246376811594204
2.224,0.4927536231884058
2.228,0.4811594202898551
2.232,0.4985507246376812
2.236,0.47681159420289854
2.24,0.48840579710144927
2.244,0.4623188405797101
2.248,0.4753623188405797
2.252,0.463768115942029
2.256,0.463768115942029
2.26,0.4811594202898551
2.264,0.47391304347826085
2.268,0.5
2.272,0.4985507246376812
2.276,0.4956521739130435
2.28,0.5101449275362319
2.284,0.49420289855072463
2.288,0.4927536231884058
2.292,0.48840579710144927
2.296,0.47681159420289854
2.3,0.4753623188405797
2.304,0.4652173913043478
2.308,0.47101449275362317
2.312,0.47681159420289854
2.316,0.5
2.32,0.48840579710144927
2.324,0.5144927536231884
2.328,0.4971014492753623
2.332,0.4782608695652174
2.336,0.48695652173913045
2.34,0.5057971014492754
2.344,0.4623188405797101
2.348,0.4753623188405797
2.352,0.46956521739130436
2.356,0.49130434782608695
2.36,0.5028985507246376
2.364,0.4753623188405797
2.368,0.5028985507246376
2.372,0.5072463768115942
2.376,0.518840579710145
2.38,0.48695652173913045
2.384,0.5028985507246376
2.388,0.4811594202898551
2.392,0.508695652173913
2.396,0.47681159420289854
2.4,0.4855072463768116
2.404,0.49130434782608695
2.408,0.48695652173913045
2.412,0.49130434782608695
2.416,0.5115942028985507
2.42,0.5028985507246376
2.424,0.5159420289855072
2.428,0.5101449275362319
2.432,0.5115942028985507
2.436,0.49130434782608695
2.44,0.4753623188405797
2.444,0.47101449275362317
2.448,0.4985507246376812
2.452,0.5014492753623189
2.456,0.4971014492753623
2.46,0.5028985507246376
2.464,0.5173913043478261
2.468,0.518840579710145
2.472,0.5217391304347826
2.476,0.5217391304347826
2.48,0.5217391304347826
2.484,0.527536231884058
2.488,0.5231884057971015
2.492,0.4927536231884058
2.496,0.4797101449275362
2.5,0.4826086956521739
2.504,0.5057971014492754
2.508,0.5014492753623189
2.512,0.4927536231884058
2.516,0.5130434782608696
2.52,0.48985507246376814
2.524,0.4927536231884058
2.528,0.48695652173913045
2.532,0.4927536231884058
2.536,0.4927536231884058
2.54,0.4956521739130435
2.544,0.5043478260869565
2.548,0.5
2.552,0.47681159420289854
2.556,0.48695652173913045
2.56,0.4985507246376812
2.564,0.49130434782608695
2.568,0.48695652173913045
2.572,0.4927536231884058
2.576,0.4985507246376812
2.58,0.4956521739130435
2.584,0.48840579710144927
2.588,0.47246376811594204
2.592,0.48405797101449277
2.596,0.48405797101449277
2.6,0.4855072463768116
2.604,0.4811594202898551
2.608,0.48695652173913045
2.612,0.4956521739130435
2.616,0.518840579710145
2.62,0.5115942028985507
2.624,0.5101449275362319
2.628,0.48695652173913045
2.632,0.4956521739130435
2.636,0.4927536231884058
2.64,0.4797101449275362
2.644,0.4797101449275362
2.648,0.4811594202898551
2.652,0.4579710144927536
2.656,0.5043478260869565
2.66,0.5043478260869565
2.664,0.48985507246376814
2.668,0.48985507246376814
2.672,0.4927536231884058
2.676,0.4985507246376812
2.68,0.4811594202898551
2.684,0.4681159420289855
2.688,0.48985507246376814
2.692,0.4608695652173913
2.696,0.44782608695652176
2.7,0.4826086956521739
2.704,0.4782608695652174
2.708,0.47246376811594204
2.712,0.47246376811594204
2.716,0.4811594202898551
2.72,0.4753623188405797
2.724,0.48695652173913045
2.728,0.4927536231884058
2.732,0.463768115942029
2.736,0.4608695652173913
2.74,0.47246376811594204
2.744,0.463768115942029
2.748,0.47391304347826085
2.752,0.4579710144927536
2.756,0.4811594202898551
2.76,0.5
2.764,0.48695652173913045
2.768,0.5014492753623189
2.772,0.5028985507246376
2.776,0.48985507246376814
2.78,0.48405797101449277
2.784,0.5014492753623189
2.788,0.47681159420289854
2.792,0.4753623188405797
2.796,0.463768115942029
2.8,0.4652173913043478
2.804,0.48985507246376814
2.808,0.4985507246376812
2.812,0.48695652173913045
2.816,0.5014492753623189
2.82,0.5
2.824,0.5130434782608696
2.828,0.5072463768115942
2.832,0.4985507246376812
2.836,0.4753623188405797
2.84,0.4811594202898551
2.844,0.48695652173913045
2.848,0.4652173913043478
2.852,0.45362318840579713
2.856,0.48405797101449277
2.86,0.4811594202898551
2.864,0.46956521739130436
2.868,0.4608695652173913
2.872,0.47246376811594204
2.876,0.4826086956521739
2.88,0.45942028985507244
2.884,0.45362318840579713
2.888,0.4405797101449275
2.892,0.4492753623188406
2.896,0.4318840579710145
2.9,0.4405797101449275
2.904,0.4492753623188406
2.908,0.4608695652173913
2.912,0.47246376811594204
2.916,0.4811594202898551
2.92,0.45652173913043476
2.924,0.45217391304347826
2.928,0.4579710144927536
2.932,0.44782608695652176
2.936,0.4289855072463768
2.94,0.45217391304347826
2.944,0.4217391304347826
2.948,0.43478260869565216
2.952,0.44782608695652176
2.956,0.45507246376811594
2.96,0.45217391304347826
2.964,0.45217391304347826
2.968,0.4579710144927536
2.972,0.4434782608695652
2.976,0.43623188405797103
2.98,0.4449275362318841
2.984,0.463768115942029
2.988,0.4463768115942029
2.992,0.4391304347826087
2.996,0.43478260869565216
3.0,0.4623188405797101
3.004,0.4753623188405797
3.008,0.48695652173913045
3.012,0.463768115942029
3.016,0.4652173913043478
3.02,0.4652173913043478
3.024,0.47101449275362317
3.028,0.4463768115942029
3.032,0.4782608695652174
3.036,0.43478260869565216
3.04,0.4579710144927536
3.044,0.4623188405797101
3.048,0.45072463768115945
3.052,0.4681159420289855
3.056,0.4652173913043478
3.06,0.463768115942029
3.064,0.47391304347826085
3.068,0.4666666666666667
3.072,0.47101449275362317
3.076,0.4681159420289855
3.08,0.44782608695652176
3.084,0.43043478260869567
3.088,0.4405797101449275
3.092,0.45652173913043476
3.096,0.4420289855072464
3.1,0.4666666666666667
3.104,0.45072463768115945
3.108,0.4623188405797101
3.112,0.47246376811594204
3.116,0.46956521739130436
3.12,0.45507246376811594
3.124,0.4666666666666667
3.128,0.45217391304347826
3.132,0.4463768115942029
3.136,0.43623188405797103
3.14,0.4420289855072464
3.144,0.4579710144927536
3.148,0.4681159420289855
3.152,0.4463768115942029
3.156,0.4681159420289855
3.16,0.4666666666666667
3.164,0.4782608695652174
3.168,0.4811594202898551
3.172,0.45652173913043476
3.176,0.4666666666666667
3.18,0.4449275362318841
3.184,0.4391304347826087
3.188,0.44782608695652176
3.192,0.45652173913043476
3.196,0.45217391304347826
3.2,0.44782608695652176
3.204,0.4623188405797101
3.208,0.4666666666666667
3.212,0.4579710144927536
3.216,0.463768115942029
3.22,0.45072463768115945
3.224,0.4652173913043478
3.228,0.43478260869565216
3.232,0.43043478260869567
3.236,0.43768115942028984
3.24,0.45942028985507244
3.244,0.43623188405797103
3.248,0.4420289855072464
3.252,0.45072463768115945
3.256,0.45507246376811594
3.26,0.4405797101449275
3.264,0.4666666666666667
3.268,0.45362318840579713
3.272,0.4463768115942029
3.276,0.4463768115942029
3.28,0.43478260869565216
3.284,0.4217391304347826
3.288,0.4217391304347826
3.292,0.4391304347826087
3.296,0.43768115942028984
3.3,0.4463768115942029
3.304,0.45072463768115945
3.308,0.4391304347826087
3.312,0.4681159420289855
3.316,0.4449275362318841
3.32,0.43768115942028984
3.324,0.4260869565217391
3.328,0.42318840579710143
3.332,0.4434782608695652
3.336,0.43043478260869567
3.34,0.4260869565217391
3.344,0.4217391304347826
3.348,0.4391304347826087
3.352,0.4405797101449275
3.356,0.4449275362318841
3.36,0.43768115942028984
3.364,0.4449275362318841
3.368,0.45652173913043476
3.372,0.43623188405797103
3.376,0.42028985507246375
3.38,0.4028985507246377
3.384,0.4115942028985507
3.388,0.4
3.392,0.4260869565217391
3.396,0.42028985507246375
3.4,0.4405797101449275
3.404,0.43333333333333335
3.408,0.4318840579710145
3.412,0.4072463768115942
3.416,0.4101449275362319
3.42,0.4072463768115942
3.424,0.4028985507246377
3.428,0.3826086956521739
3.432,0.391304347826087
3.436,0.3884057971014493
3.44,0.4
3.444,0.39710144927536234
3.448,0.4028985507246377
3.452,0.4
3.456,0.4043478260869565
3.46,0.4043478260869565
3.464,0.4057971014492754
3.468,0.4072463768115942
3.472,0.4
3.476,0.391304347826087
3.48,0.372463768115942
3.484,0.372463768115942
3.488,0.3652173913043478
3.492,0.3753623188405797
3.496,0.3884057971014493
3.5,0.4
3.504,0.4
3.508,0.4115942028985507
3.512,0.39565217391304347
3.516,0.39420289855072466
3.52,0.3695652173913043
3.524,0.3681159420289855
3.528,0.37681159420289856
3.532,0.3652173913043478
3.536,0.3536231884057971
3.54,0.39565217391304347
3.544,0.37681159420289856
3.548,0.3855072463768116
3.552,0.3898550724637681
3.556,0.3898550724637681
3.56,0.37681159420289856
3.564,0.36231884057971014
3.568,0.3826086956521739
3.572,0.3710144927536232
3.576,0.36231884057971014
3.58,0.34782608695652173
3.584,0.35942028985507246
3.588,0.35942028985507246
3.592,0.3652173913043478
3.596,0.3710144927536232
3.6,0.372463768115942
3.604,0.3695652173913043
3.608,0.3884057971014493
3.612,0.3710144927536232
3.616,0.3681159420289855
3.62,0.36231884057971014
3.624,0.3536231884057971
3.628,0.34347826086956523
3.632,0.3492753623188406
3.636,0.3652173913043478
3.64,0.3521739130434783
3.644,0.35942028985507246
3.648,0.3753623188405797
3.652,0.37971014492753624
3.656,0.3753623188405797
3.66,0.3826086956521739
3.664,0.3652173913043478
3.668,0.35942028985507246
3.672,0.34782608695652173
3.676,0.3521739130434783
3.68,0.3652173913043478
3.684,0.3521739130434783
3.688,0.35942028985507246
3.692,0.3652173913043478
3.696,0.37681159420289856
3.7,0.38405797101449274
3.704,0.3652173913043478
3.708,0.38405797101449274
3.712,0.3826086956521739
3.716,0.372463768115942
3.72,0.3710144927536232
3.724,0.3782608695652174
3.728,0.34782608695652173
3.732,0.3652173913043478
3.736,0.3536231884057971
3.74,0.36376811594202896
3.744,0.372463768115942
3.748,0.3869565217391304
3.752,0.3884057971014493
3.756,0.38115942028985506
3.76,0.3739130434782609
3.764,0.38115942028985506
3.768,0.3782608695652174
3.772,0.35507246376811596
3.776,0.36231884057971014
3.78,0.36086956521739133
3.784,0.3536231884057971
3.788,0.36231884057971014
3.792,0.38405797101449274
3.796,0.37971014492753624
3.8,0.3739130434782609
3.804,0.3536231884057971
3.808,0.3652173913043478
3.812,0.3652173913043478
3.816,0.3565217391304348
3.82,0.33043478260869563
3.824,0.34782608695652173
3.828,0.3318840579710145
3.832,0.34347826086956523
3.836,0.3536231884057971
3.84,0.3536231884057971
3.844,0.3536231884057971
3.848,0.35507246376811596
3.852,0.3652173913043478
3.856,0.3565217391304348
3.86,0.34492753623188405
3.864,0.33768115942028987
3.868,0.3521739130434783
3.872,0.35797101449275365
3.876,0.3492753623188406
3.88,0.34202898550724636
3.884,0.3536231884057971
3.888,0.34202898550724636
3.892,0.35942028985507246
3.896,0.35507246376811596
3.9,0.3652173913043478
3.904,0.35942028985507246
3.908,0.35942028985507246
3.912,0.34202898550724636
3.916,0.34057971014492755
3.92,0.34347826086956523
3.924,0.34782608695652173
3.928,0.3188405797101449
3.932,0.3652173913043478
3.936,0.34202898550724636
3.94,0.36231884057971014
3.944,0.35942028985507246
3.948,0.3521739130434783
3.952,0.37681159420289856
3.956,0.3463768115942029
3.96,0.3536231884057971
3.964,0.3463768115942029
3.968,0.33043478260869563
3.972,0.32463768115942027
3.976,0.33043478260869563
3.98,0.33043478260869563
3.984,0.34492753623188405
3.988,0.3463768115942029
3.992,0.3565217391304348
3.996,0.3333333333333333
4.0,0.34782608695652173
4.004,0.3463768115942029
4.008,0.3492753623188406
4.012,0.336231884057971
4.016,0.32318840579710145
4.02,0.3144927536231884
4.024,0.3318840579710145
4.028,0.3188405797101449
4.032,0.3347826086956522
4.036,0.33043478260869563
4.04,0.34782608695652173
4.044,0.34202898550724636
4.048,0.3333333333333333
4.052,0.33043478260869563
4.056,0.336231884057971
4.06,0.34202898550724636
4.064,0.33043478260869563
4.068,0.3188405797101449
4.072,0.33043478260869563
4.076,0.32753623188405795
4.08,0.3188405797101449
4.084,0.3347826086956522
4.088,0.3333333333333333
4.092,0.3391304347826087
4.096,0.32753623188405795
4.1,0.3333333333333333
4.104,0.32463768115942027
4.108,0.3318840579710145
4.112,0.3173913043478261
4.116,0.32463768115942027
4.12,0.3173913043478261
4.124,0.32463768115942027
4.128,0.3289855072463768
4.132,0.33768115942028987
4.136,0.3188405797101449
4.14,0.32463768115942027
4.144,0.3391304347826087
4.148,0.34347826086956523
4.152,0.3289855072463768
4.156,0.33043478260869563
4.16,0.3188405797101449
4.164,0.2985507246376812
4.168,0.2985507246376812
4.172,0.2956521739130435
4.176,0.3115942028985507
4.18,0.3130434782608696
4.184,0.3072463768115942
4.188,0.30289855072463767
4.192,0.336231884057971
4.196,0.3289855072463768
4.2,0.33043478260869563
4.204,0.32028985507246377
4.208,0.3159420289855073
4.212,0.30869565217391304
