Time(s),EEG (C4-A1)(mV)
0.488,-0.016640746500777605
0.492,-0.01275272161741835
0.496,-0.009175738724727838
0.5,-0.005132192846034215
0.504,-0.00046656298600311044
0.508,0.002021772939346812
0.512,0.0007776049766718507
0.516,0.002021772939346812
0.52,0.004043545878693624
0.524,0.002177293934681182
0.528,-0.0018662519440124418
0.532,-0.006998444790046656
0.536,-0.01119751166407465
0.54,-0.016174183514774496
0.544,-0.01866251944012442
0.548,-0.02348367029548989
0.552,-0.02332814930015552
0.556,-0.025816485225505444
0.56,-0.026283048211508554
0.564,-0.026749611197511663
0.568,-0.029548989113530325
0.572,-0.03359253499222395
0.576,-0.030171073094867808
0.58,-0.028149300155520994
0.584,-0.026283048211508554
0.588,-0.0223950233281493
0.592,-0.019284603421461897
0.596,-0.019284603421461897
0.6,-0.016796267496111975
0.604,-0.013996889580093312
0.608,-0.012286158631415241
0.612,-0.013530326594090203
0.616,-0.011508553654743391
0.62,-0.008087091757387248
0.624,-0.006065318818040436
0.628,-0.007309486780715396
0.632,-0.008087091757387248
0.636,-0.007465007776049767
0.64,-0.008398133748055987
0.644,-0.007309486780715396
0.648,-0.007309486780715396
0.652,-0.007620528771384137
0.656,-0.008864696734059098
0.66,-0.008087091757387248
0.664,-0.007153965785381027
0.668,-0.00933125972006221
0.672,-0.01275272161741835
0.676,-0.012286158631415241
0.68,-0.012908242612752722
0.684,-0.015863141524105753
0.688,-0.016796267496111975
0.692,-0.018040435458786936
0.696,-0.019440124416796267
0.7,-0.018351477449455676
0.704,-0.014307931570762053
0.708,-0.012130637636080872
0.712,-0.01135303265940902
0.716,-0.009020217729393468
0.72,-0.005909797822706065
0.724,-0.004976671850699844
0.728,-0.006065318818040436
0.732,-0.006376360808709175
0.736,-0.008709175738724729
0.74,-0.0104199066874028
0.744,-0.012441679626749611
0.748,-0.014307931570762053
0.752,-0.015863141524105753
0.756,-0.018040435458786936
0.76,-0.017107309486780714
0.764,-0.015707620528771383
0.768,-0.018040435458786936
0.772,-0.02068429237947123
0.776,-0.017573872472783827
0.78,-0.015552099533437015
0.784,-0.015241057542768274
0.788,-0.012908242612752722
0.792,-0.014618973561430793
0.796,-0.016329704510108865
0.8,-0.016640746500777605
0.804,-0.016951788491446344
0.808,-0.02021772939346812
0.812,-0.024883359253499222
0.816,-0.026749611197511663
0.82,-0.028304821150855364
0.824,-0.031259720062208396
0.828,-0.035147744945567654
0.832,-0.04059097978227061
0.836,-0.042301710730948676
0.84,-0.0416796267496112
0.844,-0.042146189735614306
0.848,-0.04183514774494557
0.852,-0.03996889580093312
0.856,-0.04152410575427683
0.86,-0.03981337480559875
0.864,-0.038569206842923795
0.868,-0.0416796267496112
0.872,-0.04525660964230171
0.876,-0.04432348367029549
0.88,-0.046034214618973564
0.884,-0.04758942457231726
0.888,-0.04696734059097978
0.892,-0.046189735614307934
0.896,-0.04494556765163297
0.9,-0.042301710730948676
0.904,-0.037791601866251946
0.908,-0.03359253499222395
0.912,-0.03188180404354588
0.916,-0.02410575427682737
0.92,-0.013685847589424573
0.924,-0.002177293934681182
0.928,0.0018662519440124418
0.932,0.00015552099533437013
0.936,-0.008087091757387248
0.94,-0.02177293934681182
0.944,-0.034836702954898914
0.948,-0.039346811819595644
0.952,-0.042768273716951785
0.956,-0.042612752721617415
0.96,-0.038413685847589425
0.964,-0.03203732503888025
0.968,-0.03390357698289269
0.972,-0.03359253499222395
0.976,-0.0297045101088647
0.98,-0.027060653188180406
0.984,-0.025038880248833592
0.988,-0.02177293934681182
0.992,-0.021150855365474338
0.996,-0.02037325038880249
1.0,-0.017573872472783827
1.004,-0.014774494556765163
1.008,-0.014618973561430793
1.012,-0.016796267496111975
1.016,-0.016796267496111975
1.02,-0.016174183514774496
1.024,-0.016951788491446344
1.028,-0.017729393468118197
1.032,-0.019284603421461897
1.036,-0.018818040435458788
1.04,-0.019284603421461897
1.044,-0.019906687402799376
1.048,-0.017573872472783827
1.052,-0.016796267496111975
1.056,-0.016796267496111975
1.06,-0.013996889580093312
1.064,-0.009642301710730949
1.068,-0.010575427682737169
1.072,-0.01073094867807154
1.076,-0.007465007776049767
1.08,-0.004821150855365474
1.084,-0.005443234836702955
1.088,-0.003421461897356143
1.092,-0.003110419906687403
1.096,-0.004043545878693624
1.1,-0.0038880248833592537
1.104,-0.001244167962674961
1.108,-0.0023328149300155523
1.112,-0.004510108864696734
1.116,-0.0029548989113530326
1.12,-0.002488335925349922
1.124,-0.003110419906687403
1.128,-0.004510108864696734
1.132,-0.007309486780715396
1.136,-0.008553654743390357
1.14,-0.0104199066874028
1.144,-0.012597200622083981
1.148,-0.014152410575427682
1.152,-0.016018662519440126
1.156,-0.02037325038880249
1.16,-0.02208398133748056
1.164,-0.02146189735614308
1.168,-0.02363919129082426
1.172,-0.026283048211508554
1.176,-0.0223950233281493
1.18,-0.02177293934681182
1.184,-0.02223950233281493
1.188,-0.02006220839813375
1.192,-0.019906687402799376
1.196,-0.020995334370139968
1.2,-0.02037325038880249
1.204,-0.017573872472783827
1.208,-0.019440124416796267
1.212,-0.02161741835147745
1.216,-0.022861586314152412
1.22,-0.023017107309486782
1.224,-0.023017107309486782
1.228,-0.023950233281493
1.232,-0.024572317262830483
1.236,-0.023950233281493
1.24,-0.02410575427682737
1.244,-0.023017107309486782
1.248,-0.02177293934681182
1.252,-0.02223950233281493
1.256,-0.02223950233281493
1.26,-0.02006220839813375
1.264,-0.015552099533437015
1.268,-0.015396578538102643
1.272,-0.015396578538102643
1.276,-0.01119751166407465
1.28,-0.007465007776049767
1.284,-0.004354587869362364
1.288,0.0015552099533437014
1.292,0.004354587869362364
1.296,0.004976671850699844
1.3,0.008553654743390357
1.304,0.014307931570762053
1.308,0.018351477449455676
1.312,0.018818040435458788
1.316,0.021306376360808708
1.32,0.025660964230171075
1.324,0.026905132192846033
1.328,0.025660964230171075
1.332,0.02363919129082426
1.336,0.023017107309486782
1.34,0.02052877138413686
1.344,0.018818040435458788
1.348,0.018195956454121306
1.352,0.014152410575427682
1.356,0.010575427682737169
1.36,0.01104199066874028
1.364,0.010575427682737169
1.368,0.009175738724727838
1.372,0.007465007776049767
1.376,0.010575427682737169
1.38,0.012908242612752722
1.384,0.014618973561430793
1.388,0.017573872472783827
1.392,0.019440124416796267
1.396,0.019906687402799376
1.4,0.023017107309486782
1.404,0.028615863141524107
1.408,0.028460342146189737
1.412,0.030171073094867808
1.416,0.03359253499222395
1.42,0.037636080870917576
1.424,0.038880248833592534
1.428,0.04027993779160187
1.432,0.039346811819595644
1.436,0.04074650077760498
1.44,0.03981337480559875
1.444,0.04136858475894246
1.448,0.04525660964230171
1.452,0.04447900466562986
1.456,0.0447900466562986
1.46,0.047900466562986
1.464,0.050388802488335924
1.468,0.04774494556765163
1.472,0.046034214618973564
1.476,0.046189735614307934
1.48,0.04712286158631415
1.484,0.0447900466562986
1.488,0.04494556765163297
1.492,0.04292379471228616
1.496,0.038569206842923795
1.5,0.03965785381026438
1.504,0.0432348367029549
1.508,0.04447900466562986
1.512,0.04401244167962675
1.516,0.04510108864696734
1.52,0.049144634525660966
1.524,0.05163297045101089
1.528,0.05178849144634526
1.532,0.053654743390357695
1.536,0.05443234836702955
1.54,0.05225505443234837
1.544,0.05163297045101089
1.548,0.049144634525660966
1.552,0.04447900466562986
1.556,0.037947122861586316
1.56,0.03359253499222395
1.564,0.03110419906687403
1.568,0.02363919129082426
1.572,0.017107309486780714
1.576,0.014930015552099534
1.58,0.011508553654743391
1.584,0.008864696734059098
1.588,0.008864696734059098
1.592,0.007931570762052876
1.596,0.005132192846034215
1.6,0.006842923794712286
1.604,0.007931570762052876
1.608,0.007931570762052876
1.612,0.004665629860031105
1.616,0.006531881804043546
1.62,0.009175738724727838
1.624,0.009953343701399688
1.628,0.01119751166407465
1.632,0.011508553654743391
1.636,0.01119751166407465
1.64,0.008398133748055987
1.644,0.005909797822706065
1.648,0.0017107309486780716
1.652,-0.002488335925349922
1.656,-0.01026438569206843
1.66,-0.01275272161741835
1.664,-0.016018662519440126
1.668,-0.023017107309486782
1.672,-0.026905132192846033
1.676,-0.027993779160186624
1.68,-0.031570762052877135
1.684,-0.0343701399688958
1.688,-0.03639191290824261
1.692,-0.038569206842923795
1.696,-0.041990668740279936
1.7,-0.042612752721617415
1.704,-0.042301710730948676
1.708,-0.0447900466562986
1.712,-0.045723172628304824
1.716,-0.042768273716951785
1.72,-0.037636080870917576
1.724,-0.031570762052877135
1.728,-0.026905132192846033
1.732,-0.020995334370139968
1.736,-0.013841368584758942
1.74,-0.01104199066874028
1.744,-0.007465007776049767
1.748,-0.003421461897356143
1.752,-0.0027993779160186624
1.756,-0.002488335925349922
1.76,-0.001244167962674961
1.764,0.00015552099533437013
1.768,-0.0029548989113530326
1.772,-0.006065318818040436
1.776,-0.004510108864696734
1.78,-0.006065318818040436
1.784,-0.008087091757387248
1.788,-0.01010886469673406
1.792,-0.01275272161741835
1.796,-0.015863141524105753
1.8,-0.012908242612752722
1.804,-0.004354587869362364
1.808,0.0037325038880248835
1.812,0.01104199066874028
1.816,0.016174183514774496
1.82,0.012597200622083981
1.824,0.002021772939346812
1.828,-0.01181959564541213
1.832,-0.024572317262830483
1.836,-0.028304821150855364
1.84,-0.028304821150855364
1.844,-0.02146189735614308
1.848,-0.014152410575427682
1.852,-0.009642301710730949
1.856,-0.007309486780715396
1.86,-0.0006220839813374805
1.864,0.006376360808709175
1.868,0.006842923794712286
1.872,0.006220839813374806
1.876,0.007620528771384137
1.88,0.006842923794712286
1.884,0.002488335925349922
1.888,0.002021772939346812
1.892,-0.0023328149300155523
1.896,-0.006220839813374806
1.9,-0.006065318818040436
1.904,-0.0057542768273716955
1.908,-0.009175738724727838
1.912,-0.01166407465007776
1.916,-0.013996889580093312
1.92,-0.013685847589424573
1.924,-0.015552099533437015
1.928,-0.016640746500777605
1.932,-0.016485225505443235
1.936,-0.016329704510108865
1.94,-0.017262830482115084
1.944,-0.015396578538102643
1.948,-0.013063763608087092
1.952,-0.013063763608087092
1.956,-0.012908242612752722
1.96,-0.007465007776049767
1.964,-0.002021772939346812
1.968,-0.001244167962674961
1.972,-0.0018662519440124418
1.976,-0.0
1.98,0.001244167962674961
1.984,0.00046656298600311044
1.988,0.001088646967340591
1.992,0.00015552099533437013
1.996,-0.003421461897356143
2.0,-0.004354587869362364
2.004,-0.003110419906687403
2.008,-0.004976671850699844
2.012,-0.007153965785381027
2.016,-0.00933125972006221
2.02,-0.0104199066874028
2.024,-0.0104199066874028
2.028,-0.01166407465007776
2.032,-0.01104199066874028
2.036,-0.01026438569206843
2.04,-0.008864696734059098
2.044,-0.006687402799377916
2.048,-0.004354587869362364
2.052,-0.0037325038880248835
2.056,-0.0052877138413685845
2.06,-0.0018662519440124418
2.064,0.0015552099533437014
2.068,-0.00031104199066874026
2.072,-0.0027993779160186624
2.076,-0.004354587869362364
2.08,-0.008709175738724729
2.084,-0.009642301710730949
2.088,-0.0104199066874028
2.092,-0.01119751166407465
2.096,-0.01275272161741835
2.1,-0.013063763608087092
2.104,-0.0104199066874028
2.108,-0.008864696734059098
2.112,-0.008087091757387248
2.116,-0.006687402799377916
2.12,-0.0038880248833592537
2.124,-0.0026438569206842922
2.128,-0.002177293934681182
2.132,-0.002021772939346812
2.136,-0.001244167962674961
2.14,-0.002488335925349922
2.144,-0.003110419906687403
2.148,-0.004665629860031105
2.152,-0.009642301710730949
2.156,-0.014618973561430793
2.16,-0.016796267496111975
2.164,-0.016951788491446344
2.168,-0.02379471228615863
2.172,-0.027993779160186624
2.176,-0.030326594090202177
2.18,-0.034836702954898914
2.184,-0.03670295489891135
2.188,-0.037791601866251946
2.192,-0.039035769828926904
2.196,-0.04385692068429238
2.2,-0.04339035769828927
2.204,-0.04432348367029549
2.208,-0.0463452566096423
2.212,-0.04774494556765163
2.216,-0.04852255054432349
2.22,-0.04743390357698289
2.224,-0.045723172628304824
2.228,-0.04416796267496112
2.232,-0.0416796267496112
2.236,-0.038569206842923795
2.24,-0.03608087091757387
2.244,-0.03328149300155521
2.248,-0.029237947122861586
2.252,-0.031570762052877135
2.256,-0.03390357698289269
2.26,-0.0328149300155521
2.264,-0.03608087091757387
2.268,-0.0401244167962675
2.272,-0.04354587869362364
2.276,-0.04727838258164852
2.28,-0.049300155520995335
2.284,-0.05412130637636081
2.288,-0.05629860031104199
2.292,-0.060964230171073094
2.296,-0.06656298600311042
2.3,-0.06702954898911354
2.304,-0.0660964230171073
2.308,-0.0671850699844479
2.312,-0.07013996889580093
2.316,-0.06998444790046657
2.32,-0.06625194401244168
2.324,-0.06391912908242613
2.328,-0.06189735614307931
2.332,-0.05785381026438569
2.336,-0.05598755832037325
2.34,-0.05458786936236392
2.344,-0.053343701399688956
2.348,-0.050388802488335924
2.352,-0.049144634525660966
2.356,-0.05163297045101089
2.36,-0.049144634525660966
2.364,-0.04774494556765163
2.368,-0.050077760497667184
2.372,-0.049766718506998445
2.376,-0.04681181959564541
2.38,-0.04712286158631415
2.384,-0.04774494556765163
2.388,-0.04727838258164852
2.392,-0.049455676516329705
2.396,-0.053499222395023326
2.4,-0.05536547433903577
2.404,-0.0552099533437014
2.408,-0.057076205287713844
2.412,-0.05785381026438569
2.416,-0.056765163297045104
2.42,-0.05443234836702955
2.424,-0.05272161741835148
2.428,-0.05116640746500778
2.432,-0.04727838258164852
2.436,-0.04370139968895801
2.44,-0.0401244167962675
2.444,-0.03421461897356143
2.448,-0.030482115085536547
2.452,-0.027527216174183515
2.456,-0.028460342146189737
2.46,-0.02363919129082426
2.464,-0.018973561430793158
2.468,-0.020995334370139968
2.472,-0.019440124416796267
2.476,-0.019284603421461897
2.48,-0.02021772939346812
2.484,-0.02177293934681182
2.488,-0.02177293934681182
2.492,-0.024727838258164853
2.496,-0.029860031104199068
2.5,-0.03110419906687403
2.504,-0.031726283048211505
2.508,-0.03328149300155521
2.512,-0.0359253499222395
2.516,-0.04027993779160187
2.52,-0.04105754276827372
2.524,-0.04043545878693624
2.528,-0.04074650077760498
2.532,-0.04105754276827372
2.536,-0.0401244167962675
2.54,-0.03965785381026438
2.544,-0.03670295489891135
2.548,-0.031726283048211505
2.552,-0.029860031104199068
2.556,-0.029393468118195955
2.56,-0.0223950233281493
2.564,-0.019284603421461897
2.568,-0.018040435458786936
2.572,-0.016485225505443235
2.576,-0.012441679626749611
2.58,-0.01166407465007776
2.584,-0.01135303265940902
2.588,-0.008553654743390357
2.592,-0.010575427682737169
2.596,-0.0119751166407465
2.6,-0.013063763608087092
2.604,-0.013530326594090203
2.608,-0.016174183514774496
2.612,-0.018818040435458788
2.616,-0.02068429237947123
2.62,-0.0208398133748056
2.624,-0.02208398133748056
2.628,-0.02208398133748056
2.632,-0.022861586314152412
2.636,-0.021306376360808708
2.64,-0.02192846034214619
2.644,-0.019595645412130637
2.648,-0.017262830482115084
2.652,-0.017418351477449457
2.656,-0.016640746500777605
2.66,-0.01135303265940902
2.664,-0.005598755832037325
2.668,-0.004976671850699844
2.672,-0.0038880248833592537
2.676,-0.002177293934681182
2.68,-0.002177293934681182
2.684,-0.0038880248833592537
2.688,-0.0057542768273716955
2.692,-0.00933125972006221
2.696,-0.016485225505443235
2.7,-0.019906687402799376
2.704,-0.019595645412130637
2.708,-0.018973561430793158
2.712,-0.017729393468118197
2.716,-0.014618973561430793
2.72,-0.013685847589424573
2.724,-0.02270606531881804
2.728,-0.03421461897356143
2.732,-0.050077760497667184
2.736,-0.06158631415241057
2.74,-0.06951788491446345
2.744,-0.06796267496111975
2.748,-0.06236391912908243
2.752,-0.05723172628304821
2.756,-0.05489891135303266
2.76,-0.04696734059097978
2.764,-0.037947122861586316
2.768,-0.03421461897356143
2.772,-0.030482115085536547
2.776,-0.026905132192846033
2.78,-0.025816485225505444
2.784,-0.026127527216174184
2.788,-0.024261275272161743
2.792,-0.026905132192846033
2.796,-0.031570762052877135
2.8,-0.034836702954898914
2.804,-0.03639191290824261
2.808,-0.04105754276827372
2.812,-0.045878693623639194
2.816,-0.049300155520995335
2.82,-0.05163297045101089
2.824,-0.053188180404354586
2.828,-0.05458786936236392
2.832,-0.05567651632970451
2.836,-0.053188180404354586
2.84,-0.05256609642301711
2.844,-0.04712286158631415
2.848,-0.042146189735614306
2.852,-0.0401244167962675
2.856,-0.038569206842923795
2.86,-0.03265940902021773
2.864,-0.028615863141524107
2.868,-0.029237947122861586
2.872,-0.029237947122861586
2.876,-0.0297045101088647
2.88,-0.030948678071539656
2.884,-0.03297045101088647
2.888,-0.031726283048211505
2.892,-0.03576982892690513
2.896,-0.037947122861586316
2.9,-0.039191290824261274
2.904,-0.037947122861586316
2.908,-0.04059097978227061
2.912,-0.04541213063763608
2.916,-0.04821150855365474
2.92,-0.05069984447900466
2.924,-0.0510108864696734
2.928,-0.049455676516329705
2.932,-0.04665629860031104
2.936,-0.04121306376360809
2.94,-0.03670295489891135
2.944,-0.028615863141524107
2.948,-0.017418351477449457
2.952,-0.01104199066874028
2.956,-0.004665629860031105
2.96,0.004043545878693624
2.964,0.013063763608087092
2.968,0.013063763608087092
2.972,0.016640746500777605
2.976,0.015707620528771383
2.98,0.013841368584758942
2.984,0.008864696734059098
2.988,0.006531881804043546
2.992,0.0006220839813374805
2.996,-0.004976671850699844
3.0,-0.008709175738724729
3.004,-0.010575427682737169
3.008,-0.013841368584758942
3.012,-0.018040435458786936
3.016,-0.02037325038880249
3.02,-0.02317262830482115
3.024,-0.027682737169517885
3.028,-0.029860031104199068
3.032,-0.030637636080870917
3.036,-0.030171073094867808
3.04,-0.030015552099533438
3.044,-0.026905132192846033
3.048,-0.02223950233281493
3.052,-0.02052877138413686
3.056,-0.02037325038880249
3.06,-0.014930015552099534
3.064,-0.010575427682737169
3.068,-0.01181959564541213
3.072,-0.01166407465007776
3.076,-0.01104199066874028
3.08,-0.01181959564541213
3.084,-0.01088646967340591
3.088,-0.009642301710730949
3.092,-0.01135303265940902
3.096,-0.016018662519440126
3.1,-0.019906687402799376
3.104,-0.02177293934681182
3.108,-0.025816485225505444
3.112,-0.027838258164852255
3.116,-0.029082426127527216
3.12,-0.027993779160186624
3.124,-0.027060653188180406
3.128,-0.025816485225505444
3.132,-0.02192846034214619
3.136,-0.015552099533437015
3.14,-0.013063763608087092
3.144,-0.008709175738724729
3.148,-0.004354587869362364
3.152,-0.005598755832037325
3.156,-0.004976671850699844
3.16,0.0013996889580093312
3.164,0.006220839813374806
3.168,0.008398133748055987
3.172,0.01010886469673406
3.176,0.01181959564541213
3.18,0.012286158631415241
3.184,0.013219284603421462
3.188,0.014618973561430793
3.192,0.015241057542768274
3.196,0.01181959564541213
3.2,0.013063763608087092
3.204,0.013841368584758942
3.208,0.013685847589424573
3.212,0.013374805598755831
3.216,0.01275272161741835
3.22,0.014152410575427682
3.224,0.013063763608087092
3.228,0.013063763608087092
3.232,0.011508553654743391
3.236,0.01010886469673406
3.24,0.007309486780715396
3.244,0.004821150855365474
3.248,0.006220839813374806
3.252,0.003421461897356143
3.256,0.0029548989113530326
3.26,0.006376360808709175
3.264,0.007776049766718507
3.268,0.008709175738724729
3.272,0.007620528771384137
3.276,0.01026438569206843
3.28,0.008709175738724729
3.284,0.01010886469673406
3.288,0.01181959564541213
3.292,0.01135303265940902
3.296,0.008242612752721618
3.3,0.004821150855365474
3.304,0.004665629860031105
3.308,0.001244167962674961
3.312,-0.001244167962674961
3.316,-0.004821150855365474
3.32,-0.005598755832037325
3.324,-0.004821150855365474
3.328,-0.0052877138413685845
3.332,-0.0023328149300155523
3.336,-0.0
3.34,0.002488335925349922
3.344,0.006842923794712286
3.348,0.01275272161741835
3.352,0.014774494556765163
3.356,0.017418351477449457
3.36,0.02348367029548989
3.364,0.026749611197511663
3.368,0.024261275272161743
3.372,0.024883359253499222
3.376,0.0223950233281493
3.38,0.018040435458786936
3.384,0.016485225505443235
3.388,0.015552099533437015
3.392,0.0104199066874028
3.396,0.0035769828926905133
3.4,-0.002488335925349922
3.404,-0.004354587869362364
3.408,-0.0104199066874028
3.412,-0.016485225505443235
3.416,-0.023017107309486782
3.42,-0.0255054432348367
3.424,-0.027682737169517885
3.428,-0.030015552099533438
3.432,-0.030326594090202177
3.436,-0.027993779160186624
3.44,-0.027993779160186624
3.444,-0.021150855365474338
3.448,-0.014307931570762053
3.452,-0.01166407465007776
3.456,-0.008709175738724729
3.46,-0.001244167962674961
3.464,0.004199066874027994
3.468,0.006376360808709175
3.472,0.01026438569206843
3.476,0.01135303265940902
3.48,0.012441679626749611
3.484,0.012908242612752722
3.488,0.015707620528771383
3.492,0.013685847589424573
3.496,0.007465007776049767
3.5,0.005443234836702955
3.504,0.003265940902021773
3.508,-0.0023328149300155523
3.512,-0.007465007776049767
3.516,-0.013063763608087092
3.52,-0.015396578538102643
3.524,-0.018195956454121306
3.528,-0.018973561430793158
3.532,-0.019595645412130637
3.536,-0.019906687402799376
3.54,-0.02021772939346812
3.544,-0.017262830482115084
3.548,-0.014307931570762053
3.552,-0.013530326594090203
3.556,-0.013685847589424573
3.56,-0.00933125972006221
3.564,-0.006687402799377916
3.568,-0.006376360808709175
3.572,-0.005598755832037325
3.576,-0.004821150855365474
3.58,-0.006842923794712286
3.584,-0.006998444790046656
3.588,-0.006220839813374806
3.592,-0.008864696734059098
3.596,-0.013063763608087092
3.6,-0.015552099533437015
3.604,-0.017418351477449457
3.608,-0.017262830482115084
3.612,-0.017418351477449457
3.616,-0.014774494556765163
3.62,-0.008709175738724729
3.624,-0.00015552099533437013
3.628,0.008087091757387248
3.632,0.014463452566096423
3.636,0.013063763608087092
3.64,0.003265940902021773
3.644,-0.009175738724727838
3.648,-0.021306376360808708
3.652,-0.03110419906687403
3.656,-0.03732503888024884
3.66,-0.03374805598755832
3.664,-0.029860031104199068
3.668,-0.030171073094867808
3.672,-0.026749611197511663
3.676,-0.02348367029548989
3.68,-0.02208398133748056
3.684,-0.015241057542768274
3.688,-0.008709175738724729
3.692,-0.006065318818040436
3.696,-0.0015552099533437014
3.7,0.002488335925349922
3.704,0.008709175738724729
3.708,0.014307931570762053
3.712,0.016796267496111975
3.716,0.02332814930015552
3.72,0.027371695178849145
3.724,0.03297045101088647
3.728,0.03545878693623639
3.732,0.04152410575427683
3.736,0.04354587869362364
3.74,0.04416796267496112
3.744,0.04821150855365474
3.748,0.05225505443234837
3.752,0.05225505443234837
3.756,0.0510108864696734
3.76,0.0552099533437014
3.764,0.05489891135303266
3.768,0.05241057542768274
3.772,0.049922239502332814
3.776,0.04696734059097978
3.78,0.042146189735614306
3.784,0.03732503888024884
3.788,0.03623639191290824
3.792,0.03265940902021773
3.796,0.026749611197511663
3.8,0.025194401244167962
3.804,0.027371695178849145
3.808,0.026594090202177293
3.812,0.027216174183514776
3.816,0.028926905132192846
3.82,0.030793157076205287
3.824,0.03421461897356143
3.828,0.03654743390357698
3.832,0.04105754276827372
3.836,0.04401244167962675
3.84,0.0447900466562986
3.844,0.047900466562986
3.848,0.05163297045101089
3.852,0.048989113530326596
3.856,0.046034214618973564
3.86,0.04556765163297045
3.864,0.045723172628304824
3.868,0.03996889580093312
3.872,0.03545878693623639
3.876,0.028926905132192846
3.88,0.018973561430793158
3.884,0.01088646967340591
3.888,0.006687402799377916
3.892,0.0006220839813374805
3.896,-0.006220839813374806
3.9,-0.01010886469673406
3.904,-0.011508553654743391
3.908,-0.015396578538102643
3.912,-0.018351477449455676
3.916,-0.019906687402799376
3.92,-0.0208398133748056
3.924,-0.022861586314152412
3.928,-0.02223950233281493
3.932,-0.0223950233281493
3.936,-0.02379471228615863
3.94,-0.0255054432348367
3.944,-0.024261275272161743
3.948,-0.02146189735614308
3.952,-0.02348367029548989
3.956,-0.025972006220839814
3.96,-0.02379471228615863
3.964,-0.026749611197511663
3.968,-0.030482115085536547
3.972,-0.03110419906687403
3.976,-0.03670295489891135
3.98,-0.04090202177293935
3.984,-0.045723172628304824
3.988,-0.04821150855365474
3.992,-0.05287713841368585
3.996,-0.059875583203732506
4.0,-0.06594090202177294
4.004,-0.06842923794712286
4.008,-0.0729393468118196
4.012,-0.07589424572317263
4.016,-0.07822706065318819
4.02,-0.08133748055987558
4.024,-0.0833592534992224
4.028,-0.08429237947122861
4.032,-0.08491446345256609
4.036,-0.08662519440124417
4.04,-0.0864696734059098
4.044,-0.08429237947122861
